time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
6.89,0.00885,-0.10223,0.12894,-0.51666,-0.22858,-0.06592,0.00595,0.00534,-0.01144,-0.07217,0.00153,-0.02716,-0.03662,-0.03235,0.00198,-0.04837
6.8905,0.01617,-0.09979,0.09232,-0.48294,-0.26123,-0.07339,0.00412,0.00153,-0.01129,-0.08316,0.02136,-0.01892,-0.04501,-0.03113,0.00397,-0.04501
6.891,0.02213,-0.10056,0.05707,-0.4306,-0.24521,-0.08347,0.00031,-0.00305,-0.01526,-0.0885,0.04791,-0.01816,-0.05478,-0.02731,0.00854,-0.04059
6.8915,0.0264,-0.09872,0.02579,-0.43823,-0.20737,-0.08453,-0.00397,-0.00702,-0.01755,-0.08667,0.08499,-0.01907,-0.05798,-0.02441,0.01328,-0.03586
6.892,0.03021,-0.09155,0.00534,-0.51559,-0.18402,-0.07248,-0.00809,-0.009,-0.01877,-0.07538,0.13229,-0.0177,-0.05371,-0.02304,0.01724,-0.03174
6.8925,0.0322,-0.08179,-0.0061,-0.54794,-0.1767,-0.05325,-0.01083,-0.01129,-0.01999,-0.05447,0.16968,-0.01434,-0.04852,-0.02213,0.01617,-0.03006
6.893,0.03052,-0.07278,-0.01297,-0.4187,-0.15839,-0.03555,-0.01221,-0.01282,-0.02136,-0.03326,0.17105,-0.01328,-0.04486,-0.02228,0.01175,-0.03387
6.8935,0.02686,-0.06683,-0.02075,-0.14282,-0.12497,-0.02426,-0.01251,-0.01205,-0.01984,-0.02792,0.12833,-0.01389,-0.04547,-0.0235,0.00824,-0.03967
6.894,0.02289,-0.06256,-0.02625,0.16586,-0.09583,-0.01968,-0.01343,-0.01175,-0.01587,-0.04684,0.06714,-0.01221,-0.04501,-0.02426,0.00336,-0.04318
6.8945,0.01938,-0.05676,-0.0267,0.40863,-0.0882,-0.01831,-0.01465,-0.01129,-0.0116,-0.07889,0.02563,-0.00443,-0.04333,-0.02213,-0.00092,-0.04425
