time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
9.57,0.01434,-0.03738,-0.02487,-0.10132,-0.03677,-0.12192,-0.00534,-0.00626,-0.00519,-0.01663,-0.04776,0.0145,-0.03738,-0.02441,0.11765,-0.10239
9.5705,0.01282,-0.03998,-0.0209,-0.0946,-0.00839,-0.11337,-0.01221,-0.00778,-0.03098,-0.03113,-0.04669,0.01495,-0.03677,-0.02548,0.09125,-0.02853
9.571,0.00992,-0.04303,-0.02335,-0.0769,-0.00046,-0.0943,-0.0116,-0.00961,-0.05219,-0.047,-0.04807,0.01114,-0.03662,-0.02319,0.03845,0.04272
9.5715,0.00748,-0.04654,-0.02563,-0.05554,0.02304,-0.07217,-0.01129,-0.01129,-0.06622,-0.05493,-0.04501,0.00473,-0.03571,-0.01968,0.01083,0.02945
9.572,0.00671,-0.04761,-0.02884,-0.05035,0.08362,-0.04471,-0.01144,-0.01022,-0.07751,-0.05386,-0.03876,0.00015,-0.03464,-0.01801,0.0087,-0.04837
9.5725,0.00824,-0.04745,-0.03067,-0.06912,0.14282,-0.01358,-0.009,-0.00687,-0.0882,-0.04837,-0.03433,0.00046,-0.03586,-0.01877,0.00839,-0.08148
9.573,0.01099,-0.04593,-0.03372,-0.09033,0.14313,0.01328,-0.00565,-0.0032,-0.09857,-0.03952,-0.03723,0.00504,-0.03922,-0.02151,-0.00137,-0.02731
9.5735,0.01053,-0.0441,-0.03845,-0.09262,0.07019,0.03189,-0.00443,-0.00153,-0.09995,-0.03143,-0.04425,0.00854,-0.04089,-0.02197,-0.01617,0.03464
9.574,0.00641,-0.04395,-0.04364,-0.07614,-0.02808,0.04242,-0.00565,-0.00259,-0.08698,-0.02411,-0.04852,0.00885,-0.03998,-0.02014,-0.0296,0.03891
9.5745,0.00153,-0.04379,-0.047,-0.04852,-0.08423,0.03983,-0.00595,-0.00275,-0.06073,-0.01465,-0.04456,0.00641,-0.03799,-0.01709,-0.03433,0.0238
9.575,-0.00198,-0.04547,-0.04715,-0.01282,-0.07965,0.00809,-0.00565,-0.00183,-0.03342,-0.00381,-0.0322,0.0061,-0.03571,-0.01434,-0.02335,0.05005
9.5755,-0.0061,-0.04745,-0.04181,0.02487,-0.05035,-0.04227,-0.00717,-0.00061,-0.0148,0.00427,-0.01678,0.00824,-0.03525,-0.01175,0.00092,0.10178
9.576,-0.00961,-0.04944,-0.03448,0.03525,-0.04288,-0.07462,-0.00931,0.00046,-0.00961,0.00717,-0.00397,0.01068,-0.0351,-0.01205,0.02014,0.12436
9.5765,-0.01297,-0.05066,-0.02518,-0.01831,-0.07004,-0.07721,-0.01144,0.00122,-0.01205,0.00931,0.00824,0.00854,-0.03464,-0.0148,0.0145,0.1059
9.577,-0.01526,-0.05524,-0.0177,-0.12085,-0.12268,-0.07614,-0.01251,0.00137,-0.01831,0.01282,0.02213,0.00214,-0.0351,-0.01801,-0.00717,0.07904
9.5775,-0.01816,-0.06317,-0.01251,-0.19455,-0.18295,-0.09689,-0.01297,0.00107,-0.02136,0.01633,0.03342,-0.00443,-0.0354,-0.01877,-0.02151,0.0679
9.578,-0.02228,-0.07187,-0.01251,-0.17853,-0.22308,-0.1178,-0.0148,-0.00168,-0.01907,0.01282,0.03311,-0.00687,-0.03555,-0.01755,-0.0177,0.07095
9.5785,-0.0264,-0.07355,-0.01419,-0.09689,-0.21759,-0.09567,-0.01816,-0.00488,-0.01328,-0.00229,0.02213,-0.00366,-0.03464,-0.01617,-0.00641,0.07294
9.579,-0.02884,-0.06653,-0.01602,-0.01419,-0.16312,-0.02762,-0.02182,-0.00732,-0.01144,-0.02304,0.00839,0.00183,-0.03418,-0.01633,0.00107,0.05981
9.5795,-0.02853,-0.05676,-0.01801,0.03189,-0.09415,0.03357,-0.02289,-0.00824,-0.01389,-0.03403,-0.00137,0.00549,-0.03342,-0.01602,0.0032,0.02213
9.58,-0.02533,-0.04898,-0.0206,0.0441,-0.05692,0.04242,-0.02274,-0.00763,-0.01663,-0.03189,-0.01083,0.00549,-0.0325,-0.01556,-0.00031,-0.02747
9.5805,-0.02136,-0.04257,-0.02533,0.03555,-0.06165,0.00916,-0.02396,-0.0061,-0.01572,-0.01816,-0.02548,0.00046,-0.03281,-0.01465,-0.00626,-0.06775
9.581,-0.01968,-0.03723,-0.0325,0.01846,-0.08575,-0.01816,-0.02609,-0.00412,-0.00961,0.0,-0.04501,-0.00549,-0.03342,-0.0145,-0.01785,-0.09613
9.5815,-0.02151,-0.03448,-0.03754,0.00046,-0.10849,-0.01968,-0.02533,-0.00137,-0.00076,0.01907,-0.06912,-0.00732,-0.03357,-0.01495,-0.02411,-0.13229
9.582,-0.0264,-0.03418,-0.03967,-0.01404,-0.1384,-0.01312,-0.01984,0.00076,0.00549,0.03723,-0.09537,-0.0032,-0.03265,-0.01663,-0.02182,-0.19897
9.5825,-0.02853,-0.03448,-0.03983,-0.0296,-0.1828,-0.02197,-0.01373,-0.00061,0.00732,0.04791,-0.11642,0.00229,-0.03159,-0.01801,-0.01572,-0.30441
9.583,-0.02518,-0.03479,-0.04074,-0.047,-0.21469,-0.04257,-0.01022,-0.00336,0.0087,0.05142,-0.12451,0.0061,-0.03067,-0.01862,-0.01022,-0.42358
9.5835,-0.02045,-0.03998,-0.03738,-0.05615,-0.19058,-0.05615,-0.01144,-0.0058,0.01175,0.04669,-0.11337,0.00763,-0.03036,-0.01877,-0.00626,-0.48721
9.584,-0.0177,-0.05676,-0.02396,-0.04578,-0.11093,-0.05829,-0.02045,-0.00595,0.01663,0.03769,-0.09033,0.00641,-0.0296,-0.01755,-0.00275,-0.41702
