time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
3.03,-0.01328,-0.04059,-0.04074,0.04318,-0.02884,-0.05066,0.14908,0.00168,-0.01434,-0.02274,-0.03815,-0.31097,-0.02914,-0.01465,0.0116,-0.01541
3.0305,-0.01297,-0.03815,-0.06439,0.07294,-0.02838,-0.05051,0.27283,0.00198,-0.01221,-0.01999,-0.04074,-0.2356,-0.02731,-0.01587,0.0145,-0.01144
3.031,-0.01328,-0.03815,-0.07492,0.11719,-0.02869,-0.04898,0.25803,0.00092,-0.00839,-0.01251,-0.03998,-0.10742,-0.02548,-0.0177,0.01465,-0.03403
3.0315,-0.01282,-0.0383,-0.07248,0.14496,-0.02716,-0.04807,0.13779,0.00076,-0.00458,-0.00397,-0.03784,0.02304,-0.02365,-0.01999,0.01175,-0.05905
3.032,-0.0119,-0.03662,-0.06409,0.12863,-0.02563,-0.04654,0.04898,-0.00092,-0.00336,-0.00092,-0.04028,0.08499,-0.02228,-0.02213,0.01099,-0.06165
3.0325,-0.01144,-0.03525,-0.05219,0.07477,-0.02625,-0.04562,0.0415,-0.00488,-0.00641,-0.00351,-0.04471,0.01755,-0.02167,-0.02304,0.01221,-0.04333
3.033,-0.0116,-0.03357,-0.03677,0.0145,-0.02853,-0.04532,0.04272,-0.00839,-0.01144,-0.009,-0.04715,-0.16098,-0.02167,-0.02167,0.0119,-0.02853
3.0335,-0.01419,-0.03387,-0.02274,-0.03464,-0.03067,-0.04562,0.00137,-0.00778,-0.01358,-0.01282,-0.04715,-0.30853,-0.02243,-0.01907,0.01022,-0.02884
3.034,-0.01694,-0.04074,-0.01266,-0.08667,-0.03281,-0.04608,-0.04242,-0.00397,-0.01541,-0.0145,-0.04547,-0.27557,-0.02457,-0.01816,0.00671,-0.03708
3.0345,-0.01877,-0.05753,-0.00778,-0.16159,-0.03281,-0.04669,-0.04547,-0.00031,-0.01877,-0.01526,-0.04227,-0.0563,-0.02609,-0.01984,0.00534,-0.04333
3.035,-0.01862,-0.07782,-0.00595,-0.27069,-0.03113,-0.04669,-0.02075,0.00061,-0.02319,-0.01663,-0.03403,0.23438,-0.02563,-0.02197,0.00656,-0.04425
3.0355,-0.01602,-0.08545,-0.00534,-0.39413,-0.03067,-0.0473,0.00732,0.00076,-0.02487,-0.01968,-0.0206,0.4837,-0.02579,-0.02335,0.00732,-0.04608
3.036,-0.01251,-0.07797,-0.00626,-0.48218,-0.0322,-0.04868,0.02975,0.00229,-0.02502,-0.02228,-0.00839,0.60562,-0.02609,-0.0235,0.00732,-0.04837
3.0365,-0.0087,-0.06973,-0.00549,-0.5011,-0.03403,-0.04944,0.03632,0.0061,-0.02487,-0.02686,-0.00443,0.5249,-0.02731,-0.02258,0.0061,-0.05096
3.037,-0.00763,-0.08392,0.0029,-0.46295,-0.03525,-0.05005,0.01511,0.00992,-0.02594,-0.03845,-0.01099,0.26688,-0.02975,-0.02151,0.00397,-0.05234
3.0375,-0.00839,-0.12802,0.01709,-0.39398,-0.03647,-0.0499,-0.02121,0.01053,-0.02655,-0.0589,-0.02014,-0.0029,-0.03067,-0.0206,0.00412,-0.05295
3.038,-0.01038,-0.1857,0.03357,-0.27802,-0.0383,-0.05005,-0.04257,0.00916,-0.02441,-0.07858,-0.02625,-0.1239,-0.03098,-0.0209,0.00671,-0.05447
3.0385,-0.01205,-0.22705,0.05127,-0.07248,-0.03784,-0.05112,-0.04623,0.00656,-0.02197,-0.08972,-0.02838,-0.1088,-0.03159,-0.02136,0.00839,-0.05722
3.039,-0.01389,-0.23605,0.06699,0.22751,-0.03738,-0.05173,-0.04715,0.00366,-0.0209,-0.08972,-0.03082,-0.09613,-0.03403,-0.02075,0.00809,-0.0592
3.0395,-0.01572,-0.22156,0.06271,0.52963,-0.03616,-0.05142,-0.04074,0.00122,-0.01877,-0.0853,-0.03525,-0.15137,-0.03586,-0.01907,0.00626,-0.06088
3.04,-0.01633,-0.1947,0.03326,0.65689,-0.03433,-0.04974,-0.00458,-0.00198,-0.0145,-0.07904,-0.04181,-0.2179,-0.03448,-0.01617,0.00549,-0.06088
3.0405,-0.01556,-0.1535,-0.01022,0.51453,-0.03281,-0.04929,0.04105,-0.0061,-0.00717,-0.07172,-0.04974,-0.22461,-0.03174,-0.01175,0.00534,-0.05875
3.041,-0.01251,-0.09476,-0.05096,0.23209,-0.03128,-0.0502,0.03891,-0.01205,0.00107,-0.06195,-0.05432,-0.16235,-0.03052,-0.00839,0.00702,-0.05493
3.0415,-0.00641,-0.02975,-0.08057,0.0473,-0.03006,-0.05051,-0.02411,-0.0148,0.00702,-0.04913,-0.05234,-0.0441,-0.03113,-0.00687,0.00839,-0.05249
3.042,0.00153,0.02701,-0.1004,0.04623,-0.02899,-0.04944,-0.09399,-0.01434,0.00961,-0.03464,-0.04517,0.11215,-0.03098,-0.00778,0.00854,-0.05112
3.0425,0.00687,0.07294,-0.11765,0.11078,-0.02823,-0.04745,-0.11292,-0.01251,0.00824,-0.0235,-0.03647,0.23941,-0.02899,-0.00854,0.00931,-0.05127
3.043,0.00885,0.1181,-0.13474,0.11169,-0.02731,-0.04517,-0.07187,-0.00931,0.00488,-0.01724,-0.02869,0.24307,-0.02686,-0.00931,0.0087,-0.0531
3.0435,0.00854,0.1593,-0.15091,0.04211,-0.02701,-0.04593,-0.00351,-0.0029,-0.00031,-0.01572,-0.02258,0.10544,-0.02777,-0.01083,0.00656,-0.05508
