time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
2.91,-0.00763,-0.06744,-0.04272,-0.0119,-0.11505,-0.0563,-0.02228,0.05539,0.00992,-0.04028,-0.02701,-0.00168,-0.03372,-0.02289,0.02014,-0.13458
2.9105,-0.01266,-0.07706,-0.04425,-0.01144,-0.05402,-0.05356,-0.01907,0.02792,0.01251,-0.05295,-0.02136,-0.02197,-0.05997,-0.00565,0.01816,-0.20004
2.911,-0.01556,-0.07904,-0.04425,-0.00977,-0.0351,-0.05325,-0.01648,0.01221,0.0116,-0.06882,-0.01587,-0.0145,-0.11703,0.00504,0.01389,-0.23376
2.9115,-0.01297,-0.07065,-0.04333,-0.00931,-0.03754,-0.05417,-0.01572,0.01434,0.01007,-0.08026,-0.01038,0.00137,-0.1738,0.00198,0.01251,-0.21149
2.912,-0.00931,-0.05692,-0.04166,-0.00946,-0.03845,-0.05386,-0.0148,0.04547,0.00992,-0.08713,-0.00687,0.00473,-0.18448,-0.01129,0.01312,-0.17029
2.9125,-0.00732,-0.04501,-0.03937,-0.01129,-0.03601,-0.05234,-0.01205,0.11688,0.00824,-0.08881,-0.00687,-0.00793,-0.13718,-0.02502,0.01617,-0.15015
2.913,-0.00824,-0.03448,-0.03296,-0.01389,-0.03876,-0.04913,-0.00839,0.18585,0.00336,-0.08667,-0.00961,-0.02563,-0.0708,-0.03113,0.02151,-0.11093
2.9135,-0.00992,-0.02258,-0.02106,-0.01526,-0.04425,-0.04715,-0.00702,0.17746,-0.00366,-0.08026,-0.0116,-0.03296,-0.03143,-0.02411,0.02655,0.02457
2.914,-0.01129,-0.00946,-0.00061,-0.01389,-0.04288,-0.04562,-0.00931,0.07431,-0.01221,-0.06744,-0.01129,-0.01572,-0.01541,-0.00214,0.01404,0.23285
2.9145,-0.01114,-0.00092,0.01678,-0.00885,-0.03418,-0.04547,-0.01328,-0.05722,-0.01984,-0.05127,-0.01236,0.0235,0.00122,0.02747,-0.02655,0.36255
2.915,-0.00977,-0.00214,0.01877,-0.00366,-0.02258,-0.04425,-0.01709,-0.15305,-0.02762,-0.03296,-0.01389,0.06378,0.01221,0.04227,-0.07111,0.30182
2.9155,-0.00824,-0.009,0.00732,-0.00229,-0.01038,-0.04425,-0.01801,-0.20691,-0.03677,-0.01617,-0.01434,0.07706,-0.00946,0.0148,-0.07599,0.11566
2.916,-0.00824,-0.01587,-0.00854,-0.00427,0.00397,-0.0441,-0.01709,-0.23544,-0.04791,-0.00351,-0.01389,0.0531,-0.05707,-0.04303,-0.03922,-0.02884
2.9165,-0.00748,-0.02029,-0.02548,-0.00702,0.02274,-0.04456,-0.01617,-0.22964,-0.05936,0.00565,-0.01389,0.01129,-0.08804,-0.08347,-0.0029,-0.05447
2.917,-0.00519,-0.02243,-0.04196,-0.00854,0.04227,-0.04379,-0.01511,-0.18585,-0.06851,0.01556,-0.01236,-0.01923,-0.08789,-0.07324,0.00809,-0.0238
2.9175,-0.00366,-0.02563,-0.05707,-0.01007,0.05783,-0.0412,-0.01541,-0.13077,-0.06866,0.02747,-0.01144,-0.02502,-0.07904,-0.03708,0.01617,-0.02396
2.918,-0.00595,-0.03021,-0.06714,-0.0119,0.065,-0.03922,-0.01694,-0.08072,-0.06226,0.03799,-0.00793,-0.01434,-0.07935,-0.01633,0.04364,-0.05966
2.9185,-0.01007,-0.03555,-0.07355,-0.01373,0.0618,-0.04028,-0.01877,-0.0296,-0.05234,0.04395,-0.00381,-0.00046,-0.07843,-0.01923,0.0618,-0.07813
2.919,-0.01236,-0.04028,-0.0795,-0.01343,0.04547,-0.04517,-0.02075,0.03174,-0.04547,0.04257,-0.00107,0.00717,-0.07233,-0.02625,0.05005,-0.05325
2.9195,-0.0087,-0.04654,-0.08347,-0.01175,0.01373,-0.04669,-0.02258,0.0853,-0.03799,0.03723,-0.00107,0.00595,-0.0679,-0.02365,0.02441,-0.01144
2.92,0.00031,-0.05264,-0.08224,-0.01053,-0.03601,-0.04593,-0.02304,0.10468,-0.02808,0.02869,-0.00244,-0.00092,-0.05692,-0.01511,0.01373,0.01617
2.9205,0.00854,-0.056,-0.07355,-0.01083,-0.09048,-0.04425,-0.02213,0.08652,-0.01694,0.02014,-0.00549,-0.00916,-0.01587,-0.01022,0.01511,0.02701
2.921,0.01266,-0.05524,-0.05951,-0.01251,-0.11337,-0.04562,-0.02045,0.04578,-0.01038,0.01068,-0.00946,-0.0148,0.0589,-0.00793,0.00702,0.03799
2.9215,0.01419,-0.0499,-0.04578,-0.01419,-0.09415,-0.047,-0.01846,-0.00671,-0.01007,0.0,-0.01038,-0.0174,0.13458,-0.00793,-0.01709,0.05219
2.922,0.01495,-0.04456,-0.03754,-0.01389,-0.07904,-0.04654,-0.01648,-0.05676,-0.01175,-0.00977,-0.00931,-0.01846,0.15945,-0.01007,-0.04623,0.05295
2.9225,0.01434,-0.04257,-0.03403,-0.01373,-0.09598,-0.04501,-0.01328,-0.07065,-0.01083,-0.01587,-0.00839,-0.01633,0.10101,-0.01389,-0.0679,0.02945
2.923,0.00977,-0.04395,-0.03403,-0.01282,-0.112,-0.04532,-0.00977,-0.03403,-0.00595,-0.02075,-0.00916,-0.0116,-0.01556,-0.01633,-0.07675,-0.01572
2.9235,0.00397,-0.04562,-0.03616,-0.01099,-0.09735,-0.047,-0.00748,0.02457,0.00107,-0.02487,-0.01129,-0.00626,-0.12177,-0.01495,-0.06805,-0.07309
2.924,0.00061,-0.04547,-0.03769,-0.00977,-0.08148,-0.04944,-0.00473,0.06485,0.00717,-0.0267,-0.01328,-0.00336,-0.1622,-0.01266,-0.04364,-0.13428
2.9245,-0.00122,-0.04303,-0.03769,-0.00824,-0.08972,-0.05066,-0.00183,0.07889,0.00977,-0.02655,-0.0148,-0.00397,-0.13794,-0.0119,-0.01419,-0.18295
2.925,-0.00458,-0.04547,-0.03571,-0.00839,-0.09445,-0.04929,-0.00122,0.08499,0.00916,-0.02502,-0.01419,-0.00656,-0.08774,-0.01144,0.00839,-0.19135
2.9255,-0.00778,-0.05325,-0.03189,-0.00793,-0.06561,-0.04654,-0.00397,0.09247,0.00748,-0.02563,-0.01266,-0.00793,-0.04517,-0.00885,0.02029,-0.14771
2.926,-0.009,-0.06271,-0.02792,-0.00778,-0.02197,-0.04486,-0.00809,0.09476,0.00626,-0.02563,-0.0119,-0.00702,-0.02182,-0.0058,0.03143,-0.08087
2.9265,-0.00824,-0.07385,-0.02563,-0.00854,0.00061,-0.04578,-0.01068,0.07751,0.00504,-0.02487,-0.01099,-0.00626,-0.0177,-0.009,0.06104,-0.03632
2.927,-0.00702,-0.08987,-0.02731,-0.00946,-0.00275,-0.04791,-0.0119,0.03586,0.0029,-0.02655,-0.00702,-0.01038,-0.02838,-0.02533,0.11841,-0.0264
2.9275,-0.00549,-0.10956,-0.03052,-0.01114,-0.01358,-0.05066,-0.01343,-0.01556,-0.00244,-0.03036,0.00137,-0.02533,-0.04822,-0.04852,0.16663,-0.03281
2.928,-0.00412,-0.11917,-0.03098,-0.01221,-0.02319,-0.05219,-0.01511,-0.05936,-0.01205,-0.03357,0.00824,-0.04425,-0.06577,-0.05905,0.14786,-0.04379
2.9285,-0.00153,-0.1152,-0.02686,-0.0119,-0.02853,-0.05371,-0.01938,-0.08804,-0.02213,-0.03296,0.01068,-0.05371,-0.06744,-0.04791,0.06271,-0.06363
2.929,0.00198,-0.10742,-0.02182,-0.01129,-0.02838,-0.05325,-0.02701,-0.09857,-0.03021,-0.03281,0.00992,-0.04486,-0.04318,-0.02823,-0.02609,-0.09094
2.9295,0.00488,-0.1059,-0.01663,-0.01007,-0.02121,-0.05325,-0.03418,-0.08957,-0.03342,-0.03647,0.01251,-0.02151,0.00397,-0.01831,-0.08118,-0.10315
2.93,0.00732,-0.1033,-0.01068,-0.00946,-0.02472,-0.05356,-0.03662,-0.05829,-0.03204,-0.03983,0.01862,0.00565,0.05005,-0.02045,-0.11642,-0.08438
2.9305,0.009,-0.08804,-0.00793,-0.01038,-0.04929,-0.05539,-0.03357,-0.01068,-0.02655,-0.04059,0.02228,0.02319,0.06058,-0.02563,-0.12573,-0.05264
2.931,0.0116,-0.05951,-0.01099,-0.01205,-0.07095,-0.05722,-0.02762,0.04257,-0.02197,-0.0354,0.01801,0.01984,0.02457,-0.02686,-0.06348,-0.04929
2.9315,0.01755,-0.02655,-0.01846,-0.0148,-0.05417,-0.05524,-0.02045,0.08835,-0.02029,-0.02823,0.00534,-0.00229,-0.0264,-0.02655,0.0592,-0.08957
2.932,0.02914,0.00229,-0.02502,-0.01495,-0.00153,-0.05081,-0.01373,0.11063,-0.02243,-0.0206,-0.01221,-0.0264,-0.04272,-0.02625,0.13428,-0.13641
