time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
5.17,-0.0087,-0.05722,-0.03738,-0.01175,-0.03479,-0.04852,-0.01694,-0.00656,-0.01404,-0.03555,-0.01633,0.00275,-0.03342,-0.02411,0.01099,-0.03906
5.1705,-0.00687,-0.06882,-0.03708,-0.01144,-0.03433,-0.04807,-0.01541,-0.0119,-0.0148,-0.0351,0.00641,-0.00198,-0.03235,-0.02167,0.01144,-0.03922
5.171,-0.00687,-0.0708,-0.0386,-0.01251,-0.03342,-0.04929,-0.01434,-0.0148,-0.01724,-0.0322,0.03891,-0.01724,-0.03433,-0.01923,0.00977,-0.04089
5.1715,-0.00946,-0.05692,-0.0386,-0.01389,-0.0322,-0.04974,-0.01266,-0.0145,-0.01862,-0.02823,0.07339,-0.03769,-0.03876,-0.01755,0.0087,-0.04379
5.172,-0.01114,-0.03677,-0.03708,-0.01297,-0.0325,-0.04837,-0.01038,-0.01129,-0.01694,-0.02686,0.09659,-0.05219,-0.04486,-0.01755,0.00748,-0.04593
5.1725,-0.01266,-0.02487,-0.03494,-0.01129,-0.03418,-0.04868,-0.00854,-0.00595,-0.01389,-0.02838,0.1059,-0.05066,-0.04883,-0.02029,0.00854,-0.04471
5.173,-0.01236,-0.02945,-0.03479,-0.01038,-0.03494,-0.0473,-0.0087,-0.00107,-0.01129,-0.03021,0.10742,-0.04364,-0.04684,-0.02426,0.00916,-0.04333
5.1735,-0.00885,-0.04288,-0.03632,-0.01022,-0.03448,-0.04715,-0.00916,0.00565,-0.01099,-0.0322,0.1059,-0.04349,-0.03799,-0.02747,0.00916,-0.04333
5.174,-0.00397,-0.05249,-0.03708,-0.01083,-0.0325,-0.04807,-0.00824,0.01038,-0.01083,-0.0322,0.09537,-0.04822,-0.02853,-0.02731,0.00687,-0.04303
5.1745,0.0,-0.05341,-0.03616,-0.01144,-0.03098,-0.04852,-0.00702,0.01205,-0.01007,-0.03174,0.06912,-0.04135,-0.02228,-0.02579,0.00504,-0.04196
5.175,0.00092,-0.04227,-0.03464,-0.01114,-0.03082,-0.04715,-0.00961,0.01007,-0.00916,-0.03082,0.03479,-0.01892,-0.02045,-0.02457,0.0061,-0.04074
5.1755,0.00015,-0.0267,-0.03479,-0.00885,-0.03021,-0.047,-0.01312,0.00641,-0.00793,-0.02823,0.00168,0.00198,-0.01984,-0.02502,0.00809,-0.04028
5.176,0.00015,-0.01556,-0.03677,-0.00656,-0.0296,-0.04547,-0.0174,0.00153,-0.00778,-0.02731,-0.02274,0.00168,-0.01755,-0.02487,0.00916,-0.03967
5.1765,0.00214,-0.01617,-0.03769,-0.00595,-0.0293,-0.04623,-0.02045,-0.00748,-0.00961,-0.0267,-0.04044,-0.01343,-0.01328,-0.0238,0.00946,-0.04135
5.177,0.00198,-0.02731,-0.03937,-0.00748,-0.0296,-0.04532,-0.02151,-0.01892,-0.01236,-0.02625,-0.05615,-0.03296,-0.01022,-0.02228,0.009,-0.04288
5.1775,0.00214,-0.04318,-0.04028,-0.00946,-0.03082,-0.04486,-0.0206,-0.02655,-0.0145,-0.02289,-0.06699,-0.0502,-0.01221,-0.02167,0.00717,-0.04395
5.178,0.00214,-0.05402,-0.04044,-0.01236,-0.03036,-0.0441,-0.01801,-0.02213,-0.01602,-0.01862,-0.06851,-0.06866,-0.01953,-0.0206,0.00519,-0.0441
5.1785,0.00275,-0.0528,-0.04074,-0.01251,-0.03082,-0.0441,-0.01678,-0.00977,-0.0174,-0.01495,-0.05936,-0.08789,-0.02853,-0.0209,0.00397,-0.04593
5.179,0.00381,-0.03723,-0.04028,-0.01083,-0.03067,-0.04349,-0.01495,-0.00092,-0.01678,-0.01358,-0.04166,-0.09247,-0.03448,-0.02151,0.00336,-0.04684
5.1795,0.00488,-0.01816,-0.03967,-0.00626,-0.02975,-0.0444,-0.01114,0.00381,-0.01617,-0.01236,-0.0206,-0.05081,-0.0354,-0.02258,0.00397,-0.04532
5.18,0.00641,-0.00839,-0.03815,-0.0029,-0.02945,-0.0441,-0.00595,0.00519,-0.01694,-0.00946,-0.00153,0.03326,-0.03464,-0.02411,0.00504,-0.04288
5.1805,0.00778,-0.00931,-0.03494,-0.0029,-0.02899,-0.0444,-0.00397,0.0032,-0.01785,-0.00626,0.01297,0.10712,-0.03601,-0.02563,0.00549,-0.04227
5.181,0.00763,-0.01495,-0.03128,-0.00458,-0.02808,-0.04456,-0.00595,-0.00137,-0.01892,-0.00549,0.02457,0.11444,-0.03815,-0.02518,0.00595,-0.0441
5.1815,0.00748,-0.02121,-0.02899,-0.00504,-0.02853,-0.04456,-0.00839,-0.00336,-0.01923,-0.00626,0.03326,0.0618,-0.03967,-0.0238,0.00824,-0.04517
5.182,0.00504,-0.02594,-0.02884,-0.00488,-0.0264,-0.04364,-0.01038,-0.00275,-0.01831,-0.00702,0.03311,0.01022,-0.03922,-0.02335,0.00931,-0.04471
5.1825,0.0029,-0.03113,-0.02991,-0.0058,-0.02518,-0.0441,-0.01251,-0.0032,-0.01572,-0.0087,0.0267,-0.00015,-0.03754,-0.02167,0.00839,-0.0441
5.183,0.00153,-0.03632,-0.03098,-0.00931,-0.02579,-0.04425,-0.01404,-0.00687,-0.01312,-0.00946,0.01785,0.01511,-0.03723,-0.02228,0.00671,-0.0444
5.1835,0.00183,-0.0412,-0.03235,-0.01251,-0.02808,-0.04456,-0.0145,-0.00946,-0.01129,-0.00916,0.0116,0.02686,-0.03845,-0.0235,0.00473,-0.04456
5.184,0.0032,-0.04639,-0.03235,-0.01251,-0.03159,-0.04654,-0.01419,-0.00961,-0.01053,-0.01038,0.00366,0.02518,-0.03998,-0.02411,0.00504,-0.04654
5.1845,0.0032,-0.0499,-0.03265,-0.01144,-0.0322,-0.04593,-0.01511,-0.01038,-0.00977,-0.01343,-0.00626,0.02106,-0.03998,-0.02472,0.00565,-0.04776
5.185,0.00275,-0.05203,-0.03204,-0.0119,-0.03021,-0.04578,-0.01755,-0.01053,-0.00961,-0.01633,-0.01587,0.01953,-0.03876,-0.02563,0.00687,-0.04837
5.1855,0.00198,-0.0528,-0.03143,-0.01266,-0.02975,-0.04532,-0.01984,-0.00931,-0.00946,-0.01511,-0.02045,0.01862,-0.03815,-0.0267,0.00717,-0.04791
5.186,0.00229,-0.05356,-0.03052,-0.0119,-0.03128,-0.04654,-0.02106,-0.00504,-0.01068,-0.01007,-0.02014,0.01282,-0.03708,-0.0264,0.00809,-0.04578
5.1865,0.00275,-0.05356,-0.03082,-0.01068,-0.03159,-0.0473,-0.01923,0.00229,-0.01572,-0.00763,-0.01602,0.00443,-0.0354,-0.0235,0.00824,-0.04501
5.187,0.00198,-0.05203,-0.03021,-0.01007,-0.03113,-0.04837,-0.01724,0.00519,-0.02365,-0.009,-0.00778,-0.00183,-0.03357,-0.01938,0.00839,-0.04547
5.1875,0.00168,-0.05112,-0.02823,-0.00961,-0.03052,-0.04944,-0.01678,-0.00168,-0.0296,-0.01282,0.0032,-0.0058,-0.03235,-0.01724,0.00778,-0.04623
5.188,0.00061,-0.05066,-0.02975,-0.00946,-0.03036,-0.04974,-0.01984,-0.01343,-0.02823,-0.01678,0.01373,-0.01022,-0.03113,-0.01434,0.00824,-0.04623
5.1885,-0.00107,-0.04944,-0.03067,-0.009,-0.03204,-0.04974,-0.02304,-0.02396,-0.02045,-0.01907,0.01846,-0.01694,-0.02914,-0.0119,0.00839,-0.04562
5.189,-0.0029,-0.0473,-0.03296,-0.00732,-0.03433,-0.0499,-0.02319,-0.02411,-0.01083,-0.01907,0.0174,-0.01831,-0.02808,-0.01114,0.00778,-0.04501
5.1895,-0.0032,-0.04547,-0.03387,-0.00549,-0.03601,-0.04745,-0.0206,-0.01526,-0.00397,-0.01633,0.01205,-0.01328,-0.02777,-0.01038,0.00717,-0.04547
5.19,-0.00198,-0.04425,-0.03448,-0.00565,-0.0351,-0.04715,-0.01831,-0.00702,-0.00168,-0.01114,0.00687,-0.00488,-0.02686,-0.01022,0.00702,-0.04547
5.1905,0.0,-0.04333,-0.03464,-0.00595,-0.0325,-0.04501,-0.01755,-0.00351,-0.0032,-0.00656,0.00626,0.00076,-0.02563,-0.01022,0.00687,-0.04547
5.191,0.00107,-0.04288,-0.03418,-0.00641,-0.02991,-0.04562,-0.01724,-0.00336,-0.00732,-0.00488,0.00961,0.00427,-0.02472,-0.01022,0.00763,-0.04471
5.1915,0.00137,-0.04211,-0.03357,-0.00717,-0.03021,-0.04562,-0.0177,-0.00443,-0.01083,-0.00137,0.01343,0.00778,-0.02426,-0.00916,0.00839,-0.04349
5.192,0.00198,-0.0412,-0.03143,-0.00778,-0.03082,-0.0473,-0.01785,-0.00443,-0.01312,0.00397,0.01038,0.01068,-0.02274,-0.00641,0.00916,-0.04257
5.1925,0.00168,-0.03967,-0.03052,-0.00702,-0.03036,-0.04623,-0.01877,-0.00473,-0.01495,0.00717,-0.00092,0.00839,-0.02106,-0.00519,0.00946,-0.04105
5.193,0.00061,-0.0412,-0.03006,-0.00671,-0.02808,-0.04654,-0.01831,-0.00443,-0.01602,0.00671,-0.01587,0.0,-0.02075,-0.00671,0.01007,-0.04074
5.1935,0.0,-0.04333,-0.02884,-0.00732,-0.02808,-0.04669,-0.01755,-0.00397,-0.01862,0.0029,-0.0293,-0.01251,-0.02182,-0.01022,0.01022,-0.04044
5.194,-0.00015,-0.04547,-0.02869,-0.01007,-0.03143,-0.04852,-0.01724,-0.00351,-0.01953,0.00107,-0.03708,-0.02197,-0.02319,-0.01221,0.01144,-0.0415
