time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
10.31,-0.00336,-0.04059,-0.0322,-0.0119,-0.02304,-0.05066,-0.07843,-0.07507,-0.00381,-0.01556,0.15503,0.02838,-0.04578,-0.0441,0.01221,-0.02777
10.3105,-0.00244,-0.04227,-0.03357,-0.01312,-0.02167,-0.04974,-0.06912,-0.07446,-0.00122,-0.01541,0.14282,0.0264,-0.04715,-0.0412,0.0119,-0.02914
10.311,-0.0032,-0.04333,-0.03387,-0.01022,-0.02151,-0.04898,-0.0444,-0.05844,0.00092,-0.01389,0.15671,0.0209,-0.04929,-0.02563,0.01099,-0.03006
10.3115,-0.00427,-0.04379,-0.03281,-0.00748,-0.0238,-0.04852,-0.01236,-0.03036,0.00061,-0.0119,0.17044,0.009,-0.05112,-0.00275,0.00946,-0.03082
10.312,-0.00443,-0.04227,-0.03204,-0.00763,-0.02594,-0.04715,0.01236,-0.00595,-0.00061,-0.01007,0.16937,-0.00443,-0.05203,0.01251,0.01022,-0.02884
10.3125,-0.00229,-0.0412,-0.03204,-0.01068,-0.02625,-0.04623,0.02106,0.01526,-0.00214,-0.00992,0.15503,-0.01938,-0.05402,0.01343,0.0116,-0.03036
10.313,-0.00015,-0.04105,-0.03235,-0.01266,-0.0264,-0.04578,0.0174,0.04532,-0.00198,-0.01068,0.14282,-0.04257,-0.05585,0.00717,0.01205,-0.02884
10.3135,0.00015,-0.04196,-0.03159,-0.01389,-0.02762,-0.04684,0.00671,0.07477,-0.00397,-0.01068,0.15167,-0.07645,-0.05707,0.00137,0.01053,-0.02869
10.314,-0.00168,-0.04318,-0.03128,-0.01511,-0.02808,-0.04745,-0.00839,0.07614,-0.00839,-0.0119,0.18341,-0.11292,-0.05539,-0.00198,0.00839,-0.02991
10.3145,-0.00381,-0.04395,-0.03174,-0.01678,-0.02838,-0.04822,-0.02197,0.04898,-0.01312,-0.01312,0.22629,-0.13184,-0.05249,-0.0029,0.00854,-0.03113
10.315,-0.00488,-0.04288,-0.03174,-0.01617,-0.02869,-0.04807,-0.02686,0.01999,-0.01785,-0.01434,0.26688,-0.1181,-0.04852,-0.00015,0.0087,-0.03174
10.3155,-0.00473,-0.0415,-0.03159,-0.01541,-0.0296,-0.04852,-0.02182,0.00671,-0.02029,-0.01556,0.29617,-0.07767,-0.04608,0.00519,0.00961,-0.03159
10.316,-0.00488,-0.04059,-0.03128,-0.01328,-0.03036,-0.04913,-0.01434,0.00168,-0.01953,-0.01526,0.30579,-0.03448,-0.04456,0.0061,0.00992,-0.03174
10.3165,-0.00565,-0.04089,-0.03174,-0.01312,-0.0296,-0.04959,-0.01434,-0.00031,-0.01709,-0.01358,0.29007,-0.01541,-0.0444,-0.00626,0.00839,-0.03281
10.317,-0.00488,-0.04227,-0.03281,-0.01266,-0.02853,-0.04852,-0.02258,0.00305,-0.01617,-0.01083,0.25299,-0.02365,-0.04471,-0.03036,0.00656,-0.03403
10.3175,-0.00473,-0.04318,-0.03494,-0.01251,-0.02869,-0.04608,-0.03571,0.01129,-0.01724,-0.00534,0.2005,-0.03647,-0.04669,-0.05417,0.00504,-0.03906
