time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
7.35,0.00275,0.05081,0.01724,-0.01266,-0.03235,-0.04456,-0.01389,-0.00458,-0.04074,-0.02762,-0.01144,-0.0116,-0.02914,-0.02945,-0.13626,-0.06073
7.3505,0.01663,0.0502,-0.09003,-0.01236,-0.0296,-0.0444,-0.01328,-0.00809,-0.03815,-0.02411,-0.00717,-0.00824,-0.03159,-0.03479,-0.13916,-0.06165
7.351,0.03204,0.03983,-0.14954,-0.01175,-0.0264,-0.047,-0.01495,-0.01068,-0.03601,-0.01862,-0.0032,-0.00671,-0.03311,-0.04074,-0.12177,-0.05905
7.3515,0.0473,0.02472,-0.16922,-0.01205,-0.0267,-0.0528,-0.01709,-0.01114,-0.03296,-0.01343,-0.00046,-0.00595,-0.03357,-0.04303,-0.08972,-0.05188
7.352,0.05432,0.00763,-0.16556,-0.01419,-0.02914,-0.05966,-0.01831,-0.00946,-0.02731,-0.01022,0.00076,-0.00534,-0.03296,-0.03906,-0.03143,-0.03937
7.3525,0.04379,-0.01297,-0.16724,-0.01633,-0.03159,-0.0647,-0.01816,-0.00702,-0.02289,-0.00626,0.00107,-0.00473,-0.03265,-0.03174,0.04288,-0.02594
7.353,0.01999,-0.03998,-0.19547,-0.01572,-0.03113,-0.06622,-0.0174,-0.00534,-0.02182,-0.0032,0.00015,-0.00473,-0.0325,-0.02518,0.09735,-0.01572
7.3535,-0.00366,-0.06683,-0.23849,-0.01495,-0.02884,-0.06546,-0.01694,-0.00229,-0.02335,-0.00061,-0.00137,-0.00778,-0.03204,-0.02167,0.09628,-0.01099
7.354,-0.0206,-0.0824,-0.28534,-0.0145,-0.02625,-0.06378,-0.01572,-0.00031,-0.0235,0.00153,-0.00458,-0.00992,-0.03281,-0.01953,0.05493,-0.01282
7.3545,-0.03418,-0.07965,-0.31662,-0.01511,-0.02472,-0.0618,-0.01526,-0.00122,-0.02258,0.00366,-0.00732,-0.01053,-0.03387,-0.01816,0.02975,-0.02274
7.355,-0.04807,-0.06256,-0.33005,-0.01602,-0.02518,-0.05966,-0.01541,-0.00336,-0.02136,0.00565,-0.00671,-0.01007,-0.0354,-0.01678,0.05554,-0.03571
7.3555,-0.05859,-0.04089,-0.3186,-0.01648,-0.02838,-0.05768,-0.01633,-0.00671,-0.01999,0.00748,-0.00732,-0.00977,-0.0354,-0.0119,0.1091,-0.04333
7.356,-0.06165,-0.02396,-0.26474,-0.0174,-0.0325,-0.05539,-0.01617,-0.00992,-0.01755,0.00763,-0.01114,-0.00916,-0.03387,-0.00107,0.14069,-0.04211
7.3565,-0.05905,-0.02014,-0.15488,-0.01633,-0.03586,-0.05478,-0.01617,-0.01083,-0.0177,0.00549,-0.01892,-0.00641,-0.03021,0.01541,0.11383,-0.03708
7.357,-0.05585,-0.03342,-0.00549,-0.01633,-0.03784,-0.05493,-0.01602,-0.00992,-0.01877,0.00031,-0.02777,-0.00336,-0.0267,0.03128,0.04578,-0.03677
7.3575,-0.056,-0.05844,0.14328,-0.01602,-0.03983,-0.05386,-0.01541,-0.00626,-0.01938,-0.00595,-0.04044,0.00092,-0.02487,0.03464,-0.01968,-0.0415
7.358,-0.05402,-0.08362,0.2475,-0.01663,-0.04181,-0.05188,-0.01434,-0.00183,-0.01709,-0.01205,-0.06058,0.00671,-0.02487,0.02441,-0.05219,-0.04578
7.3585,-0.04852,-0.09949,0.27725,-0.01755,-0.04288,-0.04883,-0.01312,0.00015,-0.01358,-0.0145,-0.08621,0.01205,-0.02396,0.00656,-0.03998,-0.04578
7.359,-0.03998,-0.10513,0.2301,-0.01755,-0.0412,-0.04654,-0.01297,0.00198,-0.01129,-0.01434,-0.10651,0.01495,-0.02228,-0.00427,-0.00397,-0.04044
7.3595,-0.03235,-0.10483,0.13672,-0.01602,-0.03723,-0.04715,-0.01221,0.00259,-0.01053,-0.01251,-0.10849,0.01419,-0.01984,-0.00031,0.02609,-0.03357
7.36,-0.02701,-0.10376,0.0441,-0.01495,-0.03342,-0.04868,-0.01114,0.0032,-0.00763,-0.01129,-0.09064,0.0116,-0.01724,0.01129,0.0386,-0.03082
7.3605,-0.02441,-0.103,-0.01678,-0.01434,-0.03143,-0.0499,-0.01022,0.00244,-0.00381,-0.01358,-0.05737,0.00946,-0.01541,0.02029,0.01251,-0.03204
7.361,-0.02151,-0.10056,-0.04257,-0.01434,-0.0296,-0.04807,-0.01022,0.00214,-0.0029,-0.01724,-0.01312,0.0058,-0.01602,0.01984,-0.02167,-0.03113
7.3615,-0.01663,-0.09552,-0.047,-0.0119,-0.02762,-0.04471,-0.01282,0.00275,-0.00549,-0.01877,0.03769,-0.00137,-0.02106,0.01266,-0.0209,-0.02579
7.362,-0.00732,-0.08759,-0.0412,-0.00809,-0.02487,-0.04181,-0.01465,0.00061,-0.01083,-0.0177,0.07828,-0.01648,-0.02686,0.00397,0.02655,-0.0209
7.3625,0.00702,-0.07675,-0.02655,-0.00595,-0.02228,-0.03922,-0.01526,-0.00046,-0.0119,-0.01709,0.0975,-0.0354,-0.03036,-0.00092,0.1004,-0.02304
7.363,0.02121,-0.06836,-0.0058,-0.00702,-0.01923,-0.03708,-0.01526,-0.00122,-0.01053,-0.02029,0.09888,-0.05783,-0.03067,-0.00458,0.13947,-0.03143
7.3635,0.02945,-0.06165,0.01434,-0.00763,-0.01526,-0.03479,-0.01434,-0.00259,-0.00824,-0.02487,0.09155,-0.08606,-0.0296,-0.00595,0.11948,-0.0386
7.364,0.02914,-0.05539,0.02502,-0.009,-0.0119,-0.03342,-0.01465,-0.00275,-0.00763,-0.02777,0.07782,-0.10651,-0.03006,-0.00565,0.06378,-0.04196
7.3645,0.02304,-0.04745,0.02396,-0.01144,-0.00946,-0.03281,-0.01587,-0.00397,-0.0087,-0.02853,0.05585,-0.09384,-0.03311,0.00183,0.01755,-0.04379
7.365,0.01648,-0.03815,0.01297,-0.01526,-0.00824,-0.03204,-0.01831,-0.00488,-0.01068,-0.02808,0.02899,-0.03204,-0.04044,0.02411,0.00153,-0.04471
7.3655,0.01251,-0.02701,-0.00183,-0.01755,-0.00854,-0.03159,-0.02167,-0.00366,-0.01175,-0.02701,0.00824,0.04822,-0.04837,0.05264,0.00473,-0.04623
7.366,0.01068,-0.01541,-0.02228,-0.01526,-0.00961,-0.03098,-0.02335,-0.00061,-0.01175,-0.02747,-0.00534,0.09262,-0.05402,0.05234,0.00122,-0.04623
7.3665,0.00992,-0.00793,-0.05051,-0.01129,-0.01129,-0.03021,-0.02197,0.00214,-0.01083,-0.02792,-0.01175,0.08514,-0.05508,-0.00778,-0.01984,-0.04379
7.367,0.00748,-0.01068,-0.08499,-0.00854,-0.01465,-0.03082,-0.0177,0.00427,-0.01083,-0.02808,-0.0145,0.0499,-0.05081,-0.11093,-0.05035,-0.03815
7.3675,0.00229,-0.02762,-0.11108,-0.009,-0.01816,-0.03189,-0.01434,0.00412,-0.00916,-0.02716,-0.01755,0.02151,-0.0444,-0.18906,-0.0824,-0.02609
7.368,-0.0032,-0.06088,-0.13153,-0.0119,-0.02365,-0.03494,-0.01419,0.00107,-0.00565,-0.02594,-0.0209,0.01022,-0.03693,-0.18494,-0.09598,-0.00931
7.3685,-0.00687,-0.09933,-0.15869,-0.01404,-0.02792,-0.03784,-0.01556,-0.0029,-0.00366,-0.02365,-0.02518,0.01175,-0.02701,-0.11597,-0.06317,0.00748
7.369,-0.00748,-0.12344,-0.20065,-0.01404,-0.02594,-0.04028,-0.01602,-0.0061,-0.00443,-0.01495,-0.02472,0.01892,-0.01434,-0.04761,0.02792,0.01419
7.3695,-0.00687,-0.11658,-0.2243,-0.01221,-0.02258,-0.04135,-0.01434,-0.00824,-0.00626,0.00549,-0.02274,0.0238,-0.00214,-0.01724,0.14435,0.00687
7.37,-0.00824,-0.08408,-0.20386,-0.01068,-0.02197,-0.04333,-0.01221,-0.00839,-0.00809,0.03876,-0.02045,0.02411,0.00732,-0.01266,0.22705,-0.00687
7.3705,-0.01022,-0.04395,-0.1384,-0.01114,-0.02655,-0.04471,-0.01282,-0.00916,-0.00916,0.06836,-0.02075,0.02151,0.01129,-0.00916,0.2478,-0.01663
7.371,-0.01282,-0.00595,-0.047,-0.01251,-0.03357,-0.0444,-0.01465,-0.01068,-0.01022,0.07034,-0.02045,0.02075,0.009,-0.00336,0.23193,-0.02213
