time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
3.92,0.00717,-0.11002,-0.2533,-0.16479,-0.03281,-0.04807,-0.01068,-0.00381,-0.00854,0.02777,0.1152,0.04379,-0.03021,-0.01892,0.01114,-0.04242
3.9205,0.01907,-0.1236,-0.31906,-0.18051,-0.03143,-0.04852,-0.01389,-0.00397,-0.00854,0.04318,0.0975,-0.03433,-0.03113,-0.01968,0.01053,-0.04456
3.921,0.02777,-0.13336,-0.32196,0.01816,-0.03128,-0.04974,-0.01495,-0.0032,-0.01022,0.04684,0.06714,-0.12405,-0.03357,-0.01999,0.00809,-0.04623
3.9215,0.03052,-0.13046,-0.28595,0.24155,-0.03189,-0.05096,-0.01266,-0.00214,-0.01022,0.04471,0.02914,-0.20004,-0.03418,-0.01999,0.00549,-0.04669
3.922,0.02396,-0.1149,-0.23468,0.33249,-0.03448,-0.05188,-0.01007,-0.00153,-0.00626,0.04059,-0.00977,-0.2298,-0.03403,-0.02075,0.0058,-0.04532
3.9225,0.00854,-0.09262,-0.17426,0.28412,-0.03494,-0.05173,-0.01038,-0.00076,-0.00046,0.03891,-0.04166,-0.18112,-0.03296,-0.02045,0.00671,-0.04333
3.923,-0.00763,-0.06622,-0.10147,0.18158,-0.03448,-0.0499,-0.01312,-0.00015,0.00565,0.04135,-0.06241,-0.07462,-0.03235,-0.0177,0.00702,-0.04181
3.9235,-0.01846,-0.03525,-0.02655,0.09766,-0.03174,-0.04776,-0.01434,0.00031,0.01038,0.04349,-0.0769,0.01862,-0.03174,-0.01602,0.00717,-0.04181
3.924,-0.02121,-0.00214,0.02213,0.06607,-0.02808,-0.047,-0.01419,-0.00137,0.01343,0.04272,-0.10117,0.05341,-0.03098,-0.01663,0.00748,-0.04288
3.9245,-0.01999,0.02609,0.02197,0.08301,-0.02686,-0.04608,-0.01465,-0.00397,0.01419,0.04074,-0.14603,0.06012,-0.03052,-0.01968,0.0087,-0.0441
3.925,-0.01923,0.04608,-0.00977,0.0824,-0.02716,-0.04364,-0.01755,-0.00748,0.01419,0.03845,-0.19196,0.08057,-0.03281,-0.01999,0.01053,-0.04318
3.9255,-0.0177,0.05981,-0.04028,-0.00793,-0.02792,-0.04166,-0.02014,-0.00977,0.01114,0.03143,-0.19974,0.11719,-0.03479,-0.01968,0.01007,-0.04395
