time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
7.49,0.01877,-0.00427,0.00031,-0.01236,-0.02319,-0.03906,-0.04547,-0.27969,0.05966,-0.02075,-0.00854,-0.00275,-0.02731,-0.0148,0.09186,-0.1178
7.4905,0.0235,0.00305,0.00595,-0.0148,-0.01907,-0.04242,-0.05951,-0.05402,-0.16617,-0.01953,-0.00473,-0.00076,-0.03189,-0.01831,0.12604,-0.10712
7.491,0.02701,0.0061,0.00473,-0.0174,-0.01755,-0.04562,-0.07431,0.22552,-0.36057,-0.02045,-0.00229,0.00061,-0.03632,-0.02213,0.06256,-0.08606
7.4915,0.02975,0.0061,-0.0058,-0.01343,-0.01846,-0.04745,-0.06714,0.38986,-0.49896,-0.02548,-0.00626,0.00244,-0.04105,-0.02502,-0.10101,-0.06638
7.492,0.0296,0.00305,-0.0238,0.00458,-0.02151,-0.047,-0.03571,0.35126,-0.59814,-0.03601,-0.02487,0.00153,-0.04562,-0.02777,-0.25192,-0.05569
7.4925,0.02686,-0.00092,-0.04028,0.02747,-0.02472,-0.04593,-0.00656,0.1619,-0.67093,-0.05249,-0.0528,0.00092,-0.04608,-0.0296,-0.28854,-0.05219
7.493,0.02319,-0.009,-0.04807,0.03693,-0.02487,-0.04517,0.00198,-0.04593,-0.70633,-0.0647,-0.06927,-0.00061,-0.04272,-0.02869,-0.19913,-0.05096
7.4935,0.02029,-0.02502,-0.04974,0.02716,-0.02457,-0.04486,-0.01205,-0.14023,-0.7106,-0.06424,-0.05554,-0.00031,-0.03937,-0.02441,-0.04089,-0.05096
7.494,0.01755,-0.05081,-0.05219,0.01495,-0.02487,-0.04349,-0.04272,-0.06454,-0.72479,-0.05066,-0.02075,0.00061,-0.0383,-0.01923,0.09689,-0.05493
7.4945,0.01328,-0.07538,-0.0531,0.01648,-0.02655,-0.04364,-0.07767,0.09247,-0.78064,-0.03586,0.01389,0.00259,-0.03799,-0.01648,0.16235,-0.05981
7.495,0.00885,-0.09064,-0.05188,0.01785,-0.02869,-0.04501,-0.09918,0.16708,-0.87097,-0.02457,0.03601,0.00427,-0.03616,-0.01617,0.19226,-0.0647
7.4955,0.00519,-0.09491,-0.05051,-0.00427,-0.03128,-0.04684,-0.09338,0.09827,-0.96558,-0.01617,0.04669,0.00565,-0.03082,-0.01419,0.24445,-0.0676
7.496,0.00198,-0.08621,-0.05096,-0.0412,-0.03204,-0.04745,-0.05341,-0.01266,-1.04752,-0.00778,0.05173,0.00519,-0.02502,-0.0119,0.30258,-0.06668
7.4965,-0.00046,-0.06546,-0.05127,-0.06271,-0.03113,-0.04623,0.00885,-0.05432,-1.12091,-0.00137,0.05051,0.00366,-0.02045,-0.01099,0.31052,-0.06409
7.497,-0.00259,-0.04044,-0.05127,-0.05814,-0.03052,-0.04623,0.06149,-0.03738,-1.19293,-0.00092,0.04654,0.00031,-0.01923,-0.00977,0.27725,-0.06149
7.4975,-0.00626,-0.0177,-0.04913,-0.03967,-0.03098,-0.04593,0.07309,-0.02609,-1.26114,-0.00366,0.04379,-0.00046,-0.02029,-0.00626,0.24811,-0.0589
7.498,-0.01038,-0.00122,-0.04715,-0.01892,-0.0322,-0.04593,0.0441,-0.02991,-1.32004,-0.00641,0.04425,0.00015,-0.02396,-0.00107,0.22308,-0.05539
7.4985,-0.01419,0.0087,-0.04974,0.00351,-0.03372,-0.04578,0.0032,-0.02167,-1.38397,-0.01129,0.04425,0.00168,-0.02853,0.00122,0.17715,-0.05096
7.499,-0.01556,0.01144,-0.05341,0.0209,-0.03296,-0.04593,-0.02106,-0.0087,-1.47125,-0.01907,0.03738,0.00031,-0.03128,0.00443,0.12466,-0.04501
7.4995,-0.01419,0.00854,-0.056,0.01984,-0.03281,-0.04684,-0.01526,-0.02548,-1.57394,-0.02533,0.02518,-0.00214,-0.03113,0.00198,0.09216,-0.03922
7.5,-0.01022,0.00351,-0.05707,0.0032,-0.03174,-0.04684,0.01343,-0.06973,-1.65939,-0.02777,0.01083,-0.00275,-0.03189,0.00275,0.07736,-0.03418
7.5005,-0.00534,-0.00443,-0.05844,-0.01205,-0.03021,-0.04608,0.03357,-0.10925,-1.69647,-0.02579,-0.00839,0.0,-0.03387,0.00183,0.05295,-0.03098
7.501,-0.00198,-0.01572,-0.06516,-0.01404,-0.03021,-0.04608,0.00641,-0.13657,-1.67587,-0.02151,-0.0325,0.0032,-0.0351,-0.00137,0.01419,-0.0293
7.5015,0.00198,-0.02258,-0.07813,-0.00626,-0.03189,-0.04669,-0.05554,-0.16495,-1.62277,-0.01511,-0.05554,0.00565,-0.03494,-0.00671,-0.03052,-0.02655
7.502,0.00595,-0.01801,-0.0882,0.00122,-0.03555,-0.04807,-0.09598,-0.17563,-1.57318,-0.0087,-0.06516,0.00793,-0.03448,-0.01312,-0.07889,-0.02518
7.5025,0.00916,-0.00473,-0.08743,0.00381,-0.03967,-0.05035,-0.07462,-0.10544,-1.53717,-0.00229,-0.06149,0.01022,-0.03357,-0.01694,-0.12756,-0.02579
7.503,0.00977,0.00641,-0.07324,0.00153,-0.04242,-0.05432,-0.01038,0.05493,-1.51169,0.00229,-0.04929,0.01572,-0.03204,-0.01755,-0.15915,-0.02625
7.5035,0.009,0.01083,-0.05447,-0.00305,-0.04333,-0.05676,0.04715,0.19455,-1.51169,0.00336,-0.03433,0.02106,-0.02884,-0.01984,-0.14801,-0.02655
7.504,0.00809,0.01129,-0.03693,-0.00565,-0.04333,-0.05646,0.06516,0.18188,-1.54831,-0.00153,-0.02106,0.02167,-0.02655,-0.02136,-0.09933,-0.02609
7.5045,0.00839,0.00931,-0.0235,-0.00702,-0.03983,-0.05386,0.05341,0.04272,-1.60019,-0.01282,-0.01495,0.01541,-0.02502,-0.0238,-0.06714,-0.02686
7.505,0.00854,0.00473,-0.01282,-0.00824,-0.03662,-0.05234,0.03922,-0.06699,-1.651,-0.02625,-0.01709,0.00534,-0.02441,-0.02686,-0.08835,-0.02731
7.5055,0.00671,-0.00427,-0.00824,-0.00961,-0.03418,-0.05234,0.02945,-0.06287,-1.70258,-0.03403,-0.02151,-0.0061,-0.02319,-0.02823,-0.11169,-0.02686
7.506,0.00336,-0.01266,-0.01266,-0.01236,-0.03098,-0.05173,0.01236,-0.01221,-1.75735,-0.03357,-0.0238,-0.01724,-0.0209,-0.03082,-0.06195,-0.02472
7.5065,-0.00046,-0.01785,-0.02563,-0.0174,-0.02808,-0.05096,-0.01053,-0.00031,-1.80588,-0.02762,-0.02548,-0.03082,-0.0177,-0.02899,0.03998,-0.0238
7.507,-0.00458,-0.02106,-0.04517,-0.02899,-0.02457,-0.05005,-0.0174,-0.01755,-1.84143,-0.0209,-0.02701,-0.04547,-0.0145,-0.02686,0.08682,-0.02579
7.5075,-0.00946,-0.02609,-0.06165,-0.04868,-0.02213,-0.0499,0.00381,-0.01205,-1.85608,-0.01434,-0.03006,-0.05005,-0.01343,-0.02518,0.03448,-0.0293
7.508,-0.01358,-0.03403,-0.07309,-0.06958,-0.02228,-0.05051,0.03616,0.00168,-1.83029,-0.0061,-0.03143,-0.04059,-0.01556,-0.02625,-0.03555,-0.03128
