time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
9.28,0.01755,-0.08728,-0.06851,-0.02335,-0.04333,-0.04517,-0.01709,0.00854,-1.26846,-0.02304,-0.00992,-0.00214,-0.0296,-0.05615,0.08759,-0.04318
9.2805,0.01373,-0.07355,-0.07843,-0.0264,-0.04471,-0.04837,0.01312,0.00565,-1.29761,-0.02289,-0.01846,-0.00198,-0.03723,-0.04654,0.03113,-0.04242
9.281,0.01083,-0.06058,-0.08316,-0.0386,-0.04242,-0.05051,0.02213,0.00519,-1.32385,-0.02701,-0.02762,-0.00168,-0.04196,-0.03662,0.03189,-0.04181
9.2815,0.00565,-0.05188,-0.08423,-0.05875,-0.04013,-0.05219,0.02441,0.0087,-1.35025,-0.03357,-0.03738,-0.00183,-0.0444,-0.02747,0.04669,-0.04013
9.282,-0.00061,-0.04761,-0.08682,-0.07751,-0.03952,-0.05585,0.02625,0.00793,-1.37299,-0.03448,-0.04379,-0.00061,-0.04761,-0.01877,0.04852,-0.03845
9.2825,-0.0061,-0.04654,-0.08835,-0.08408,-0.03922,-0.05829,0.0116,-0.00198,-1.3916,-0.0267,-0.04135,0.00305,-0.05325,-0.01038,0.03479,-0.03586
9.283,-0.0087,-0.04684,-0.08926,-0.06302,-0.03738,-0.05859,-0.0148,-0.01221,-1.4064,-0.01678,-0.03006,0.00671,-0.06088,-0.00809,0.0119,-0.03311
9.2835,-0.0087,-0.04517,-0.08423,-0.00519,-0.0325,-0.05615,-0.01984,-0.01526,-1.41937,-0.00595,-0.01709,0.00854,-0.06592,-0.01022,-0.01846,-0.03189
9.284,-0.00595,-0.04181,-0.07507,0.06317,-0.02655,-0.0528,0.00687,-0.01114,-1.4328,0.00305,-0.00778,0.00931,-0.06729,-0.01343,-0.0531,-0.03113
9.2845,-0.0029,-0.03784,-0.06027,0.09125,-0.02182,-0.04883,0.03265,-0.00748,-1.44455,0.01114,-0.00381,0.01022,-0.06561,-0.01175,-0.07919,-0.03204
9.285,-0.00046,-0.03448,-0.04166,0.05447,-0.01877,-0.04471,0.02869,-0.00656,-1.44638,0.01312,-0.00229,0.01099,-0.06195,-0.00885,-0.09476,-0.03311
9.2855,-0.00092,-0.02762,-0.01801,-0.01282,-0.01877,-0.0415,0.00778,-0.00748,-1.44501,0.00671,0.00244,0.01068,-0.05676,-0.00824,-0.10803,-0.03403
9.286,-0.00198,-0.01892,0.00504,-0.05997,-0.02121,-0.03708,0.00153,-0.00809,-1.44577,-0.00732,0.00961,0.00824,-0.05066,-0.01129,-0.13031,-0.03448
9.2865,-0.0029,-0.01053,0.02335,-0.07126,-0.02258,-0.03159,0.01144,-0.00717,-1.43967,-0.02243,0.01968,0.0058,-0.04608,-0.01495,-0.14999,-0.03479
9.287,-0.00412,-0.0029,0.03448,-0.06363,-0.0235,-0.03021,0.01907,-0.00549,-1.42044,-0.0322,0.02747,-0.00061,-0.04242,-0.01633,-0.13779,-0.03632
