time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
4.9,0.01221,-0.09247,-0.03143,-0.02182,-0.02914,-0.04318,-0.01328,-0.00351,0.01328,-0.04776,-0.0444,0.02441,-0.03387,-0.01648,0.00809,-0.03296
4.9005,0.009,-0.09201,0.04013,-0.04257,-0.02838,-0.03891,-0.0116,-0.00275,0.02274,-0.04227,-0.09933,0.02365,-0.0322,-0.01678,0.00168,-0.03372
4.901,0.00641,-0.09598,0.16678,-0.03586,-0.03021,-0.03586,-0.01175,-0.00244,0.0325,-0.02502,-0.15793,0.03433,-0.03082,-0.01678,-0.00397,-0.03433
4.9015,0.00259,-0.10544,0.28961,-0.01617,-0.03342,-0.03616,-0.0119,-0.00198,0.04364,0.00458,-0.19821,0.04135,-0.03159,-0.01617,-0.00504,-0.03479
4.902,0.00107,-0.11078,0.34149,0.00839,-0.03571,-0.03632,-0.01175,-0.00168,0.0528,0.04562,-0.19379,0.03754,-0.03281,-0.0145,-0.00107,-0.03616
4.9025,0.0032,-0.10895,0.3064,0.02563,-0.03525,-0.03525,-0.01114,-0.00031,0.05356,0.08972,-0.13199,0.0296,-0.03311,-0.01358,0.00427,-0.03876
4.903,0.00854,-0.10147,0.21378,0.01984,-0.03281,-0.03204,-0.01083,0.00122,0.04471,0.1268,-0.02884,0.02121,-0.03418,-0.01465,0.00534,-0.04242
4.9035,0.01297,-0.09155,0.09964,-0.00854,-0.03159,-0.02808,-0.01144,0.00198,0.02762,0.15045,0.07111,0.01251,-0.0351,-0.01801,0.00458,-0.04578
4.904,0.01282,-0.07858,-0.02014,-0.03571,-0.03204,-0.02701,-0.0119,0.00015,0.00259,0.16159,0.11627,0.00854,-0.03586,-0.02274,0.00366,-0.04684
4.9045,0.00931,-0.06271,-0.13519,-0.03403,-0.03326,-0.03006,-0.01251,-0.00336,-0.01953,0.16296,0.08499,0.01114,-0.0351,-0.02457,0.00534,-0.04639
4.905,0.00397,-0.04837,-0.2272,-0.00305,-0.03296,-0.03494,-0.01282,-0.00473,-0.02365,0.15045,0.00259,0.01907,-0.03448,-0.02472,0.00702,-0.04501
4.9055,-0.00153,-0.04303,-0.27802,0.02487,-0.03235,-0.03815,-0.01282,-0.00534,-0.00824,0.11963,-0.08041,0.02609,-0.03464,-0.02319,0.00687,-0.04425
4.906,-0.00916,-0.04715,-0.29007,0.02319,-0.03326,-0.03983,-0.01373,-0.00656,0.01129,0.06973,-0.13168,0.0296,-0.03479,-0.02258,0.00549,-0.04395
4.9065,-0.01984,-0.05142,-0.27527,-0.00092,-0.03494,-0.04608,-0.01648,-0.00854,0.01938,0.01251,-0.14008,0.02716,-0.03448,-0.02213,0.00504,-0.04318
4.907,-0.03098,-0.04684,-0.24872,-0.02213,-0.03738,-0.05951,-0.01831,-0.00778,0.01648,-0.03906,-0.10605,0.02197,-0.03342,-0.02167,0.00732,-0.03983
4.9075,-0.03815,-0.04044,-0.21271,-0.02914,-0.03845,-0.07309,-0.01694,-0.00565,0.00626,-0.08331,-0.03372,0.01602,-0.03372,-0.02243,0.00977,-0.03586
4.908,-0.03662,-0.04639,-0.16754,-0.03387,-0.03738,-0.07874,-0.01495,-0.00397,-0.00748,-0.1236,0.04807,0.01053,-0.03448,-0.02472,0.01083,-0.0322
4.9085,-0.02731,-0.06943,-0.12909,-0.04654,-0.03555,-0.0769,-0.01511,-0.00473,-0.02213,-0.15656,0.10117,0.00458,-0.03464,-0.02762,0.00961,-0.03159
4.909,-0.01556,-0.10147,-0.11337,-0.0621,-0.03479,-0.07477,-0.01602,-0.00549,-0.0325,-0.17578,0.10468,-0.0029,-0.0351,-0.02762,0.0061,-0.03418
4.9095,-0.00641,-0.12329,-0.11536,-0.07706,-0.0351,-0.07324,-0.01587,-0.0058,-0.04059,-0.18036,0.06851,-0.00809,-0.03479,-0.02472,0.00519,-0.03723
4.91,-0.00107,-0.12634,-0.11261,-0.10483,-0.03571,-0.07095,-0.01373,-0.0061,-0.0473,-0.17548,0.01602,-0.0061,-0.03403,-0.02075,0.00748,-0.03906
4.9105,0.00015,-0.11459,-0.0885,-0.17242,-0.03784,-0.06393,-0.01343,-0.00717,-0.04791,-0.16312,-0.03586,0.0,-0.03372,-0.01801,0.01099,-0.03922
4.911,-0.00092,-0.09827,-0.05264,-0.26352,-0.03952,-0.05386,-0.01297,-0.00671,-0.03784,-0.13855,-0.07767,-0.00168,-0.03418,-0.01785,0.01099,-0.04013
4.9115,-0.0032,-0.08118,-0.03403,-0.3096,-0.03952,-0.04562,-0.01205,-0.00534,-0.02777,-0.10223,-0.10406,-0.01175,-0.03647,-0.01923,0.00854,-0.04333
4.912,-0.00549,-0.05966,-0.05188,-0.24826,-0.0386,-0.04333,-0.01083,-0.00397,-0.02502,-0.06088,-0.11124,-0.01587,-0.03647,-0.02136,0.00549,-0.04898
4.9125,-0.00702,-0.0351,-0.09552,-0.09567,-0.03937,-0.04684,-0.01068,-0.00488,-0.02808,-0.02441,-0.09766,-0.00488,-0.03494,-0.02136,0.00443,-0.05432
4.913,-0.00748,-0.01526,-0.13351,0.07629,-0.04059,-0.05219,-0.01282,-0.00671,-0.02533,0.00275,-0.07294,0.01038,-0.03067,-0.01846,0.00519,-0.05737
4.9135,-0.00946,-0.00259,-0.14542,0.21118,-0.04013,-0.05493,-0.01419,-0.00595,-0.00717,0.02426,-0.0531,0.01495,-0.02655,-0.01358,0.00519,-0.05661
4.914,-0.01389,0.00443,-0.13397,0.27985,-0.03891,-0.05356,-0.01434,-0.00351,0.01541,0.04013,-0.04684,0.0087,-0.02579,-0.00961,0.00305,-0.05463
4.9145,-0.01877,0.01053,-0.11414,0.26291,-0.03616,-0.0499,-0.01434,-0.00137,0.02457,0.04761,-0.05096,-0.00015,-0.02731,-0.00839,0.00168,-0.05219
4.915,-0.02075,0.01495,-0.09216,0.18066,-0.03418,-0.0473,-0.01404,-0.00137,0.01511,0.04517,-0.06302,-0.00595,-0.02991,-0.00992,0.00244,-0.0502
4.9155,-0.01892,0.01617,-0.06775,0.10315,-0.03296,-0.0444,-0.01419,-0.0029,0.00061,0.03952,-0.07889,-0.00641,-0.03098,-0.01205,0.00519,-0.04669
4.916,-0.01572,0.01541,-0.04547,0.08255,-0.03235,-0.0444,-0.01495,-0.00504,-0.00671,0.03937,-0.09003,-0.00412,-0.03143,-0.01526,0.00961,-0.04105
