time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
4.96,-0.00031,-0.04562,-0.02945,-0.00824,-0.00244,-0.03708,-0.05219,0.00549,-0.01389,-0.00061,-0.00916,0.00183,-0.03433,-0.0145,0.00534,-0.03738
4.9605,-0.00519,-0.05997,-0.0267,-0.00732,-0.00504,-0.03738,-0.05234,0.00977,-0.01221,-0.00153,-0.01389,0.00137,-0.03525,-0.01541,0.0058,-0.03677
4.961,-0.01328,-0.07263,-0.02548,-0.00839,-0.00885,-0.04059,-0.04333,0.00916,-0.01251,0.00107,-0.0177,0.00168,-0.03555,-0.01724,0.00763,-0.03479
4.9615,-0.02304,-0.07751,-0.0238,-0.01129,-0.01541,-0.04562,-0.02792,0.00778,-0.01343,0.00916,-0.02014,0.00061,-0.03448,-0.01785,0.00916,-0.03342
4.962,-0.03143,-0.07217,-0.02121,-0.0145,-0.02411,-0.05081,-0.02182,0.00946,-0.01617,0.01587,-0.02594,-0.00092,-0.03326,-0.01816,0.00885,-0.03326
4.9625,-0.03845,-0.06195,-0.01968,-0.01602,-0.03357,-0.05478,-0.03601,0.00854,-0.0174,0.01892,-0.03647,-0.00183,-0.03372,-0.01923,0.00763,-0.03357
4.963,-0.04486,-0.05157,-0.01892,-0.01404,-0.04181,-0.0589,-0.0589,-0.00458,-0.01709,0.01862,-0.04547,-0.00183,-0.03418,-0.01938,0.00763,-0.0351
4.9635,-0.05051,-0.04318,-0.01892,-0.01144,-0.04974,-0.06012,-0.06042,-0.02594,-0.01678,0.01541,-0.04486,-0.00198,-0.03403,-0.02014,0.00885,-0.03632
4.964,-0.05463,-0.03555,-0.01755,-0.01083,-0.05737,-0.0589,-0.03143,-0.03937,-0.01831,0.01007,-0.0351,-0.00244,-0.03326,-0.02136,0.01129,-0.03708
4.9645,-0.05554,-0.02838,-0.01709,-0.01114,-0.06241,-0.05463,0.00122,-0.03143,-0.0206,0.00092,-0.02106,-0.0029,-0.03265,-0.02167,0.01129,-0.03754
4.965,-0.05234,-0.02197,-0.01938,-0.01129,-0.06317,-0.05188,0.00137,-0.00839,-0.0209,-0.01755,-0.01144,-0.00259,-0.03265,-0.02136,0.0058,-0.04028
4.9655,-0.04562,-0.0177,-0.02808,-0.01129,-0.06058,-0.05325,-0.0267,0.01205,-0.01984,-0.04303,-0.00809,-0.00122,-0.03128,-0.02182,-0.00107,-0.04623
4.966,-0.03799,-0.01755,-0.03998,-0.01114,-0.05417,-0.05722,-0.04242,0.02136,-0.02029,-0.0618,-0.00824,0.00031,-0.02945,-0.02121,0.00214,-0.05219
4.9665,-0.03174,-0.02258,-0.04898,-0.01068,-0.05005,-0.05905,-0.0235,0.02075,-0.02335,-0.06134,-0.01053,-0.00015,-0.02838,-0.02106,0.01297,-0.05463
4.967,-0.02792,-0.03159,-0.05234,-0.01007,-0.04929,-0.05844,0.0061,0.01831,-0.02716,-0.04547,-0.01495,-0.00305,-0.02991,-0.02121,0.01602,-0.05249
4.9675,-0.02411,-0.03952,-0.0499,-0.00977,-0.05234,-0.05585,0.00229,0.01434,-0.02884,-0.02472,-0.01846,-0.00473,-0.03281,-0.02182,0.00381,-0.04791
4.968,-0.01892,-0.04166,-0.04211,-0.00977,-0.05447,-0.05432,-0.03967,0.00229,-0.03067,-0.00793,-0.01999,-0.00305,-0.03479,-0.02228,-0.009,-0.04364
4.9685,-0.01465,-0.03784,-0.03235,-0.00946,-0.05219,-0.05325,-0.0824,-0.02457,-0.03357,0.00534,-0.01907,-0.00214,-0.03571,-0.02258,-0.0087,-0.04044
4.969,-0.01266,-0.03357,-0.02563,-0.00885,-0.04654,-0.05096,-0.09216,-0.05844,-0.0354,0.01404,-0.01755,-0.00183,-0.03464,-0.02289,0.00519,-0.03769
4.9695,-0.01282,-0.03235,-0.02289,-0.00778,-0.04089,-0.04776,-0.0676,-0.07996,-0.03616,0.0174,-0.01846,-0.00214,-0.0322,-0.02167,0.01968,-0.03586
4.97,-0.01236,-0.03204,-0.02197,-0.00778,-0.03662,-0.04547,-0.03403,-0.07416,-0.03479,0.01617,-0.0238,-0.00092,-0.02975,-0.01938,0.02701,-0.03555
4.9705,-0.01175,-0.0325,-0.02029,-0.00778,-0.03403,-0.04486,-0.01694,-0.04135,-0.03296,0.01312,-0.03235,0.00076,-0.02975,-0.01862,0.0238,-0.03799
4.971,-0.01053,-0.03326,-0.01953,-0.00885,-0.03281,-0.04578,-0.02472,0.00153,-0.03098,0.01129,-0.03769,0.0029,-0.03082,-0.01923,0.01846,-0.04166
4.9715,-0.01266,-0.03586,-0.02014,-0.00946,-0.03342,-0.04623,-0.03891,0.02716,-0.02838,0.01205,-0.03693,0.00336,-0.03235,-0.01968,0.0177,-0.04562
4.972,-0.01663,-0.03937,-0.02151,-0.01099,-0.03326,-0.04623,-0.02594,0.01923,-0.02563,0.0119,-0.03159,0.00046,-0.03113,-0.01907,0.01938,-0.04761
4.9725,-0.01816,-0.04166,-0.02228,-0.0119,-0.03281,-0.04562,0.0264,-0.00458,-0.02304,0.00732,-0.02426,-0.00366,-0.0293,-0.01648,0.01663,-0.04745
4.973,-0.01587,-0.04196,-0.02289,-0.01114,-0.03128,-0.04379,0.09521,-0.01678,-0.01968,-0.00046,-0.0174,-0.00641,-0.02808,-0.0145,0.00702,-0.04593
4.9735,-0.01236,-0.04211,-0.02411,-0.01053,-0.03036,-0.04028,0.14206,-0.01404,-0.01602,-0.00885,-0.0119,-0.00397,-0.02853,-0.01297,0.00031,-0.04196
4.974,-0.00854,-0.04562,-0.02518,-0.00946,-0.02914,-0.03754,0.14832,-0.01114,-0.01328,-0.01663,-0.01022,-0.00031,-0.02991,-0.01312,-0.00137,-0.03967
