time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
3.28,-0.01175,-0.03479,-0.00092,0.06531,-0.0351,-0.05768,-0.04089,-0.00198,-0.01328,0.00229,-0.04562,-0.00137,-0.02762,-0.01831,0.00931,-0.04623
3.2805,-0.00656,-0.03464,-0.01053,0.07278,-0.03632,-0.05798,-0.04303,-0.0029,-0.01923,0.00092,-0.04013,-0.00061,-0.02899,-0.0177,0.00763,-0.04623
3.281,-0.00397,-0.0354,-0.01877,0.05005,-0.03479,-0.05463,-0.03403,-0.00229,-0.02411,-0.00488,-0.03479,0.0,-0.03006,-0.01755,0.00626,-0.04532
3.2815,-0.00244,-0.03616,-0.02518,0.0148,-0.03128,-0.04913,-0.00366,-0.00107,-0.02716,-0.00778,-0.02914,-0.00061,-0.03052,-0.01602,0.00565,-0.0441
3.282,-0.00046,-0.03662,-0.03311,-0.01114,-0.02823,-0.04272,0.03723,-0.00107,-0.02884,-0.00626,-0.02411,-0.00061,-0.03082,-0.0145,0.00534,-0.04364
3.2825,0.00122,-0.03723,-0.04242,-0.01282,-0.02777,-0.03708,0.05829,-0.00214,-0.0293,-0.00351,-0.01938,-0.00031,-0.03143,-0.0145,0.00504,-0.04395
3.283,0.00153,-0.03723,-0.05188,0.0058,-0.02777,-0.03311,0.04532,-0.00305,-0.02731,-0.00351,-0.01511,0.00031,-0.03113,-0.01617,0.00534,-0.04456
3.2835,0.00015,-0.03799,-0.05783,0.0322,-0.02823,-0.03143,0.01801,-0.0029,-0.02457,-0.0087,-0.01175,-0.00031,-0.03067,-0.0174,0.0058,-0.04501
3.284,-0.00107,-0.03937,-0.05615,0.04929,-0.02869,-0.0322,0.00336,-0.00168,-0.02472,-0.0148,-0.01083,-0.00198,-0.03281,-0.01755,0.00595,-0.04562
3.2845,-0.00092,-0.0412,-0.04623,0.05157,-0.03021,-0.03448,0.00061,-0.00229,-0.02533,-0.01862,-0.01282,-0.00183,-0.03479,-0.01694,0.00519,-0.04578
3.285,0.00076,-0.04349,-0.03693,0.0412,-0.03128,-0.03784,-0.00214,-0.00214,-0.02213,-0.01877,-0.01511,-0.00076,-0.03571,-0.01663,0.00366,-0.04471
3.2855,0.00046,-0.04578,-0.03387,0.02563,-0.0322,-0.04028,-0.00687,-0.00153,-0.0145,-0.02014,-0.0148,0.0,-0.03372,-0.01663,0.00397,-0.04364
3.286,-0.0029,-0.04745,-0.03418,0.01038,-0.03204,-0.04059,-0.00854,0.00122,-0.00732,-0.02228,-0.01495,0.00061,-0.03143,-0.0174,0.00473,-0.04227
3.2865,-0.00732,-0.04791,-0.03082,-0.00443,-0.0322,-0.04074,-0.00854,0.00244,-0.00473,-0.02472,-0.01694,0.00168,-0.03143,-0.01892,0.00702,-0.04105
3.287,-0.01053,-0.04623,-0.0235,-0.01877,-0.03265,-0.04044,-0.01007,0.00214,-0.00488,-0.02716,-0.01907,0.00381,-0.03204,-0.01968,0.00916,-0.04013
3.2875,-0.009,-0.0444,-0.01846,-0.03479,-0.0322,-0.03815,-0.01221,0.00092,-0.00656,-0.02823,-0.01923,0.00504,-0.03235,-0.01846,0.01053,-0.03937
3.288,-0.00427,-0.04272,-0.01907,-0.05112,-0.03189,-0.03723,-0.01205,-0.00031,-0.00778,-0.02777,-0.01755,0.0032,-0.0325,-0.0174,0.01038,-0.03983
