time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
10.26,0.01144,-0.03754,-0.03998,-0.02213,-0.02838,-0.04776,-0.01282,-0.01205,-0.0351,0.0415,-0.00275,-0.01099,-0.02853,-0.01953,0.01617,-0.03769
10.2605,0.01068,-0.03677,-0.04044,-0.02319,-0.02563,-0.04761,-0.01175,-0.0119,-0.04211,0.0267,-0.0061,-0.0116,-0.0296,-0.01816,0.00473,-0.05661
10.261,0.00854,-0.03647,-0.04211,-0.02258,-0.02579,-0.04669,-0.0119,-0.0148,-0.04501,0.00092,-0.02823,-0.00946,-0.03006,-0.0174,-0.00031,-0.07187
10.2615,0.00763,-0.03677,-0.0444,-0.01938,-0.02914,-0.04639,-0.01251,-0.01892,-0.04135,-0.02197,-0.07309,-0.00656,-0.03052,-0.01831,0.00214,-0.07538
10.262,0.00702,-0.03754,-0.04349,-0.01404,-0.03021,-0.0473,-0.01205,-0.02197,-0.03326,-0.03586,-0.11414,-0.0058,-0.03052,-0.01907,0.00671,-0.07965
10.2625,0.00641,-0.03845,-0.04135,-0.00824,-0.03006,-0.04745,-0.01144,-0.02197,-0.02625,-0.04257,-0.12009,-0.00748,-0.03052,-0.01755,0.00473,-0.08514
10.263,0.00656,-0.03876,-0.03998,-0.00626,-0.02823,-0.04761,-0.01068,-0.02045,-0.02228,-0.04425,-0.09155,-0.00748,-0.02991,-0.01663,-0.00702,-0.09247
10.2635,0.0061,-0.03815,-0.04028,-0.00732,-0.02945,-0.04807,-0.01038,-0.02167,-0.02151,-0.04318,-0.05585,-0.00565,-0.02945,-0.01617,-0.02228,-0.09933
10.264,0.00732,-0.03677,-0.04105,-0.01221,-0.03403,-0.04669,-0.01038,-0.02533,-0.01938,-0.04074,-0.03326,-0.00351,-0.0296,-0.01801,-0.03387,-0.10391
10.2645,0.00763,-0.03708,-0.04272,-0.01816,-0.03845,-0.04517,-0.0116,-0.02838,-0.01678,-0.03937,-0.01328,-0.00504,-0.03235,-0.02014,-0.03647,-0.10513
10.265,0.00732,-0.0383,-0.0444,-0.0238,-0.03769,-0.0441,-0.01419,-0.02762,-0.01495,-0.0386,0.01434,-0.00961,-0.03403,-0.02213,-0.03067,-0.10056
10.2655,0.00671,-0.03998,-0.04501,-0.02686,-0.03021,-0.04379,-0.01587,-0.02487,-0.01678,-0.03662,0.04089,-0.01495,-0.03387,-0.02182,-0.02029,-0.08514
10.266,0.00641,-0.04135,-0.04562,-0.02289,-0.02106,-0.04623,-0.01495,-0.02167,-0.01999,-0.03632,0.04761,-0.01511,-0.03204,-0.0209,-0.00992,-0.05844
10.2665,0.00549,-0.04272,-0.04501,-0.0116,-0.01816,-0.04807,-0.01328,-0.0174,-0.02258,-0.03677,0.02777,-0.00854,-0.03143,-0.01892,-0.00015,-0.02762
