time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
5.65,0.04547,-0.07004,-0.06195,0.03708,-0.02609,-0.05081,-0.11261,0.15503,-0.01846,-0.02121,-0.00854,0.21576,-0.03967,-0.01953,0.01007,-0.03311
5.6505,0.04623,-0.0705,-0.06226,0.03937,-0.0209,-0.05646,-0.07416,0.17166,-0.00961,-0.0264,-0.02258,0.11505,-0.03876,-0.02686,0.00763,-0.03769
5.651,0.04135,-0.06836,-0.06699,0.04791,-0.01694,-0.0441,-0.00656,0.13,-0.00427,-0.03052,-0.02579,-0.02808,-0.03601,-0.03387,0.00534,-0.04395
5.6515,0.0325,-0.0647,-0.07797,0.06134,-0.01419,-0.03723,0.04333,0.05981,-0.00107,-0.02594,-0.02487,-0.11337,-0.03479,-0.04288,0.00549,-0.04776
5.652,0.02243,-0.05981,-0.09155,0.07507,-0.01343,-0.0386,0.03998,0.00168,-0.00092,-0.00656,-0.02411,-0.09979,-0.03525,-0.05463,0.00549,-0.04684
5.6525,0.01205,-0.05707,-0.10254,0.08194,-0.01297,-0.04044,-0.00366,-0.0267,-0.00351,0.01892,-0.0264,-0.03433,-0.03464,-0.06592,0.00473,-0.04547
5.653,0.00183,-0.05951,-0.10651,0.0824,-0.01373,-0.04456,-0.03021,-0.04456,-0.00824,0.04059,-0.0296,-0.00061,-0.03265,-0.07858,0.00275,-0.047
5.6535,-0.01038,-0.06973,-0.10025,0.08209,-0.01495,-0.05707,-0.00824,-0.08942,-0.01099,0.05173,-0.03036,-0.03754,-0.03082,-0.08667,0.00153,-0.05005
5.654,-0.02167,-0.08591,-0.08301,0.08331,-0.01907,-0.07538,0.0264,-0.15839,-0.01099,0.04974,-0.02777,-0.09796,-0.0322,-0.08179,0.00107,-0.05127
5.6545,-0.02716,-0.10178,-0.05493,0.08438,-0.02533,-0.08713,0.02106,-0.19669,-0.00717,0.04257,-0.02197,-0.1062,-0.03662,-0.05753,0.00336,-0.05035
5.655,-0.02869,-0.10849,-0.02182,0.08347,-0.03403,-0.08453,-0.01907,-0.15945,-0.00031,0.0322,-0.01511,-0.05569,-0.04303,-0.02701,0.0061,-0.04974
5.6555,-0.02792,-0.10193,-0.00153,0.08255,-0.04013,-0.07339,-0.04944,-0.08194,0.00595,0.02289,-0.01144,-0.0058,-0.04868,-0.01556,0.00916,-0.047
5.656,-0.02899,-0.08606,-0.02045,0.08331,-0.05051,-0.06668,-0.05432,-0.03311,0.00534,0.0209,-0.0119,0.01083,-0.04913,-0.03387,0.01007,-0.04242
5.6565,-0.0293,-0.0679,-0.07324,0.08545,-0.05783,-0.06271,-0.06561,-0.02518,-0.00076,0.01648,-0.01251,0.02838,-0.04425,-0.06042,0.00946,-0.03632
5.657,-0.02258,-0.05249,-0.12039,0.08881,-0.05676,-0.047,-0.09216,-0.01587,-0.00885,0.01511,-0.00961,0.07965,-0.03754,-0.05875,0.0087,-0.03159
5.6575,-0.00946,-0.0412,-0.13245,0.09171,-0.05264,-0.01465,-0.09232,0.00626,-0.01419,0.00977,-0.00336,0.13321,-0.03555,-0.02365,0.00961,-0.03143
5.658,0.00137,-0.03403,-0.11932,0.09171,-0.04074,0.01617,-0.03387,0.02625,-0.01801,0.00732,0.00381,0.15442,-0.03708,0.00031,0.00961,-0.03494
5.6585,0.00183,-0.03098,-0.10254,0.08591,-0.02869,0.02426,0.05615,0.05081,-0.02258,0.00275,0.00473,0.15717,-0.03784,-0.03769,0.00854,-0.03845
5.659,-0.00504,-0.02716,-0.08911,0.07797,-0.02014,0.02136,0.112,0.08591,-0.03006,0.00015,-0.00641,0.16098,-0.03647,-0.11337,0.00763,-0.03708
5.6595,-0.01053,-0.01907,-0.0824,0.07339,-0.01465,0.03998,0.09109,0.09171,-0.03662,-0.00641,-0.02304,0.14816,-0.03494,-0.1384,0.00931,-0.03296
5.66,-0.01099,-0.01297,-0.08118,0.07217,-0.01251,0.07828,-0.01587,0.02472,-0.03845,-0.01709,-0.02777,0.10193,-0.03616,-0.07294,0.01129,-0.0322
