time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
6.33,-0.01129,-0.04318,-0.03281,-0.00885,-0.0351,-0.04395,-0.01694,-0.01511,-0.03036,-0.03632,-0.10101,0.00046,-0.03326,-0.0293,0.00565,-0.0415
6.3305,-0.01083,-0.04471,-0.03662,-0.01312,-0.03357,-0.04364,-0.01816,0.02716,-0.01312,-0.02777,-0.09567,0.00641,-0.03204,-0.02914,0.00809,-0.0412
6.331,-0.01129,-0.04272,-0.03922,-0.01862,-0.03265,-0.04471,-0.01831,0.03983,-0.00717,-0.02151,-0.09186,0.02579,-0.03098,-0.02609,0.00916,-0.04196
6.3315,-0.01328,-0.03906,-0.04089,-0.02533,-0.0325,-0.04669,-0.01678,0.01617,-0.009,-0.01175,-0.09689,0.04425,-0.03159,-0.02106,0.00885,-0.04166
6.332,-0.01724,-0.03479,-0.04181,-0.02991,-0.0325,-0.04761,-0.01389,-0.03647,-0.01053,0.00076,-0.11139,0.04288,-0.03235,-0.01373,0.00839,-0.04013
6.3325,-0.02213,-0.03021,-0.04089,-0.02869,-0.03326,-0.04791,-0.01404,-0.10452,-0.00092,0.01297,-0.1326,0.0206,-0.03296,-0.00214,0.00809,-0.03906
6.333,-0.02396,-0.02502,-0.03799,-0.02213,-0.03372,-0.04807,-0.0148,-0.1561,0.01877,0.02213,-0.159,-0.00275,-0.03387,0.01038,0.00824,-0.03983
6.3335,-0.01968,-0.02213,-0.03464,-0.01663,-0.03265,-0.05005,-0.01389,-0.15411,0.03738,0.02243,-0.17136,-0.01633,-0.03464,0.0177,0.00687,-0.04105
6.334,-0.00809,-0.02167,-0.03174,-0.01709,-0.03082,-0.05203,-0.0116,-0.08606,0.0354,0.00763,-0.14236,-0.02029,-0.03555,0.01526,0.00687,-0.0415
6.3345,0.00961,-0.02319,-0.0293,-0.02029,-0.02945,-0.05066,-0.00916,0.01877,0.00809,-0.02258,-0.06989,-0.01099,-0.03418,0.00717,0.00748,-0.0415
6.335,0.02884,-0.02487,-0.02991,-0.0206,-0.03021,-0.047,-0.01007,0.10773,-0.02289,-0.05814,0.01083,0.00824,-0.03418,-0.00061,0.00717,-0.04196
6.3355,0.04227,-0.02808,-0.03616,-0.0177,-0.03067,-0.04562,-0.0119,0.1387,-0.02899,-0.08438,0.06516,0.00977,-0.03586,-0.00534,0.00626,-0.04272
6.336,0.0444,-0.03128,-0.05005,-0.01602,-0.03006,-0.04761,-0.01282,0.10757,-0.00336,-0.09247,0.08713,-0.02396,-0.03632,-0.00732,0.00549,-0.04257
6.3365,0.03525,-0.03204,-0.06699,-0.01968,-0.0293,-0.05081,-0.01129,0.04562,0.03448,-0.0853,0.08652,-0.06317,-0.03326,-0.01099,0.00748,-0.04135
6.337,0.02197,-0.03204,-0.0824,-0.03891,-0.0296,-0.05173,-0.00854,-0.00412,0.06393,-0.0737,0.06744,-0.05371,-0.02991,-0.01633,0.01007,-0.03922
6.3375,0.00885,-0.03387,-0.09537,-0.07736,-0.03113,-0.04974,-0.00504,-0.01984,0.07813,-0.06622,0.03677,0.00443,-0.02945,-0.02563,0.01129,-0.0386
6.338,-0.00504,-0.03784,-0.10254,-0.10834,-0.03204,-0.0473,-0.00351,-0.00809,0.07355,-0.0618,0.00839,0.04547,-0.03113,-0.03326,0.01205,-0.03937
6.3385,-0.02258,-0.0412,-0.09583,-0.08728,-0.0325,-0.04532,-0.00671,0.00793,0.04578,-0.05569,-0.00122,0.02167,-0.03159,-0.03632,0.01205,-0.04028
6.339,-0.03784,-0.04425,-0.07111,-0.00397,-0.03159,-0.04364,-0.0116,0.01907,0.00061,-0.04456,0.00107,-0.03525,-0.03006,-0.03601,0.01129,-0.04044
6.3395,-0.03967,-0.04745,-0.03845,0.07965,-0.02945,-0.04288,-0.01526,0.02563,-0.05142,-0.03281,0.00061,-0.06638,-0.02823,-0.03418,0.01083,-0.03998
6.34,-0.02304,-0.04868,-0.01373,0.08987,-0.02716,-0.04257,-0.01511,0.02686,-0.09918,-0.02563,-0.0087,-0.05035,-0.02823,-0.03281,0.01129,-0.03922
6.3405,0.00381,-0.04852,-0.0029,0.03296,-0.02686,-0.04211,-0.01373,0.02151,-0.12726,-0.02213,-0.02075,-0.00305,-0.03159,-0.03235,0.01144,-0.03891
6.341,0.02045,-0.04654,0.00031,-0.01724,-0.02716,-0.04074,-0.01068,0.01328,-0.13,-0.01572,-0.02777,0.03937,-0.03311,-0.03143,0.01083,-0.03891
6.3415,0.01877,-0.04486,-0.00153,-0.01373,-0.02853,-0.03967,-0.00885,0.00244,-0.11703,-0.00504,-0.03326,0.04456,-0.03143,-0.0293,0.00916,-0.04044
6.342,0.00977,-0.04837,-0.00626,0.01846,-0.02777,-0.0412,-0.009,-0.0177,-0.1033,0.00824,-0.03906,0.00732,-0.02792,-0.02579,0.00565,-0.04257
6.3425,0.00656,-0.05402,-0.01373,0.0386,-0.02762,-0.04425,-0.01266,-0.05753,-0.09094,0.02213,-0.04745,-0.03906,-0.02716,-0.02136,0.00397,-0.04501
