time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
6.93,-0.009,-0.02899,-0.01755,-0.08865,-0.08041,-0.02151,-0.01282,0.00717,0.0,-0.02365,-0.01556,-0.02121,-0.03082,-0.01541,0.03403,-0.04608
6.9305,-0.00931,-0.0293,-0.01831,-0.06561,-0.08438,-0.02136,-0.01175,0.00748,0.00137,-0.02029,-0.01175,-0.00793,-0.0325,-0.01678,0.05463,-0.03693
6.931,-0.00977,-0.03052,-0.01984,-0.02228,-0.07721,-0.02335,-0.01205,0.00854,0.00076,-0.01694,-0.009,0.0032,-0.03525,-0.01587,0.09384,-0.03525
6.9315,-0.00946,-0.03189,-0.02197,0.01602,-0.06348,-0.02762,-0.01358,0.01053,-0.00122,-0.01602,-0.01038,0.00763,-0.03632,-0.0148,0.10529,-0.00519
6.932,-0.00809,-0.03418,-0.02411,0.03418,-0.05127,-0.03098,-0.01434,0.01129,-0.00351,-0.01892,-0.01221,0.00473,-0.03632,-0.0145,0.07919,0.06134
6.9325,-0.00717,-0.0351,-0.02518,0.03937,-0.0412,-0.03311,-0.01343,0.01099,-0.00504,-0.0238,-0.00748,0.00214,-0.03662,-0.01495,0.04013,0.12711
6.933,-0.00732,-0.03555,-0.02655,0.0322,-0.03143,-0.03403,-0.01144,0.01007,-0.00549,-0.0322,0.00397,0.00381,-0.03693,-0.01602,0.00916,0.14816
6.9335,-0.00809,-0.03418,-0.02655,0.00641,-0.02197,-0.03586,-0.01099,0.00961,-0.00595,-0.04211,0.01129,0.0058,-0.03677,-0.01694,-0.02579,0.121
6.934,-0.00824,-0.03235,-0.02762,-0.03799,-0.01709,-0.03983,-0.01175,0.00824,-0.00595,-0.04791,0.00412,0.00443,-0.03647,-0.0174,-0.07706,0.06973
6.9345,-0.00702,-0.0325,-0.02792,-0.07858,-0.01862,-0.0444,-0.01358,0.00702,-0.0061,-0.04684,-0.01144,0.00122,-0.0354,-0.01907,-0.12344,0.01663
6.935,-0.00626,-0.03357,-0.02792,-0.09964,-0.02457,-0.04913,-0.01404,0.00412,-0.00793,-0.04242,-0.02289,0.00076,-0.03357,-0.02274,-0.12817,-0.03067
6.9355,-0.00656,-0.03403,-0.02975,-0.09399,-0.03052,-0.05295,-0.01572,0.00092,-0.01312,-0.03555,-0.02991,0.00107,-0.03281,-0.02609,-0.09552,-0.06622
6.936,-0.00839,-0.03418,-0.03204,-0.05341,-0.02991,-0.05646,-0.01709,-0.00107,-0.02045,-0.02899,-0.04745,-0.00092,-0.03403,-0.02533,-0.05707,-0.08591
6.9365,-0.01007,-0.0354,-0.03357,0.01678,-0.01495,-0.06104,-0.01785,0.00061,-0.02594,-0.02289,-0.07751,-0.00549,-0.03494,-0.02197,-0.01068,-0.09155
6.937,-0.00885,-0.0386,-0.03189,0.07629,0.00473,-0.06699,-0.01617,0.00183,-0.03036,-0.0148,-0.09766,-0.00549,-0.03601,-0.01801,0.08682,-0.09476
6.9375,-0.00473,-0.04211,-0.03082,0.0882,0.01526,-0.07446,-0.01465,0.00061,-0.03708,-0.00656,-0.08606,-0.00076,-0.03418,-0.01694,0.21683,-0.103
6.938,-0.00351,-0.04303,-0.03174,0.0708,0.01038,-0.08408,-0.01556,-0.00397,-0.04562,0.00031,-0.05066,0.00427,-0.03235,-0.01694,0.28168,-0.11551
6.9385,-0.00732,-0.04272,-0.03296,0.065,0.0029,-0.09476,-0.01633,-0.009,-0.04913,0.00336,-0.01678,0.00717,-0.03204,-0.01877,0.22659,-0.12695
6.939,-0.01312,-0.04349,-0.03296,0.07492,0.0,-0.103,-0.01602,-0.01007,-0.04379,0.00534,0.00198,0.0061,-0.03265,-0.02029,0.10559,-0.12466
6.9395,-0.01541,-0.04395,-0.03281,0.06958,-0.01083,-0.10757,-0.01526,-0.0087,-0.02991,0.00885,0.01038,0.00305,-0.0325,-0.01999,0.01114,-0.09369
6.94,-0.01205,-0.04456,-0.03632,0.04089,-0.04791,-0.112,-0.01755,-0.00717,-0.01526,0.01495,0.0148,-0.00031,-0.03036,-0.01724,-0.0264,-0.03403
6.9405,-0.00565,-0.04639,-0.04105,0.02335,-0.11154,-0.11932,-0.01907,-0.00687,-0.01053,0.01923,0.01495,-0.0032,-0.02838,-0.01419,-0.03601,0.03372
6.941,-0.00214,-0.04944,-0.04593,0.0354,-0.17654,-0.12909,-0.01877,-0.00687,-0.01938,0.01846,0.01144,-0.00443,-0.02838,-0.01129,-0.05035,0.07645
6.9415,-0.00351,-0.05341,-0.04852,0.05798,-0.21408,-0.1387,-0.01846,-0.00366,-0.03342,0.01175,0.00549,-0.00427,-0.02975,-0.00793,-0.07721,0.06897
6.942,-0.00595,-0.05844,-0.04852,0.06241,-0.21469,-0.14404,-0.01816,-0.00198,-0.03967,-0.00015,-0.00061,-0.00397,-0.03052,-0.0058,-0.09766,0.01251
