time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
8.33,-0.00839,-0.05737,-0.04776,-0.15305,-0.08011,-0.13199,-0.00992,-0.01221,-0.01251,-0.02655,-0.10452,-0.00397,-0.03448,-0.01953,0.31845,-0.06042
8.3305,-0.00549,-0.05753,-0.04745,-0.18982,-0.08682,-0.13718,-0.01144,-0.0145,-0.00992,-0.02579,-0.07172,-0.00046,-0.03479,-0.01755,0.28671,-0.04959
8.331,-0.00214,-0.05829,-0.04517,-0.16083,-0.07904,-0.14084,-0.01358,-0.01465,-0.00732,-0.02426,-0.04242,0.0029,-0.03326,-0.01648,0.23575,-0.02151
8.3315,-0.00031,-0.05905,-0.04333,-0.08331,-0.06348,-0.14175,-0.01511,-0.01175,-0.00656,-0.02304,-0.0325,0.00305,-0.0322,-0.01816,0.18784,-0.00412
8.332,-0.00031,-0.0618,-0.04562,0.01175,-0.05325,-0.14145,-0.01526,-0.00809,-0.00793,-0.02121,-0.02502,0.00076,-0.0322,-0.01694,0.13809,-0.0032
8.3325,0.0,-0.06668,-0.05249,0.09888,-0.04913,-0.1445,-0.01648,-0.00351,-0.00946,-0.01938,-0.00305,-0.00076,-0.03235,-0.01556,0.08591,-0.00946
8.333,-0.00031,-0.07004,-0.06393,0.14542,-0.04318,-0.14664,-0.0177,0.00076,-0.00885,-0.0174,0.02594,-0.00092,-0.03296,-0.01205,0.0444,-0.02136
8.3335,-0.0032,-0.06989,-0.07523,0.11978,-0.03098,-0.14542,-0.01694,0.00351,-0.00839,-0.01801,0.04379,-0.00168,-0.03342,-0.00778,0.02884,-0.04822
8.334,-0.00748,-0.06409,-0.08011,0.03922,-0.01907,-0.14679,-0.01587,0.00153,-0.01053,-0.01999,0.04868,-0.00198,-0.03433,-0.00427,0.04227,-0.07919
8.3345,-0.00839,-0.05585,-0.07858,-0.04395,-0.00946,-0.14771,-0.01419,-0.00412,-0.01205,-0.02228,0.04822,-0.00275,-0.03586,-0.0029,0.05997,-0.09369
8.335,-0.00366,-0.0499,-0.06943,-0.10437,0.00275,-0.14755,-0.01419,-0.01114,-0.01282,-0.02228,0.04639,-0.00153,-0.03464,-0.00549,0.05432,-0.08392
8.3355,0.00214,-0.0444,-0.05096,-0.16144,0.01617,-0.14465,-0.0145,-0.01495,-0.01328,-0.02213,0.0412,0.00381,-0.03296,-0.01175,0.01846,-0.05249
8.336,0.00671,-0.03372,-0.02441,-0.22522,0.02121,-0.13931,-0.01312,-0.01328,-0.01419,-0.02167,0.0354,0.0116,-0.03265,-0.01923,-0.01862,-0.01694
8.3365,0.0087,-0.01907,0.00137,-0.26535,0.0116,-0.13611,-0.01282,-0.00793,-0.01434,-0.0209,0.03143,0.01617,-0.03311,-0.02533,-0.03357,-0.00061
8.337,0.00992,-0.00778,0.02213,-0.23987,-0.00946,-0.13351,-0.01312,-0.00214,-0.01328,-0.02075,0.02823,0.01541,-0.0325,-0.02899,-0.03708,-0.01572
8.3375,0.01541,-0.00366,0.03815,-0.14023,-0.03494,-0.13184,-0.01282,0.00107,-0.01251,-0.02136,0.02258,0.009,-0.03128,-0.03342,-0.06027,-0.04333
8.338,0.03418,-0.00656,0.04898,0.00763,-0.05051,-0.12695,-0.01236,0.00275,-0.01297,-0.02243,0.01266,0.00412,-0.03143,-0.03708,-0.10086,-0.05569
8.3385,0.07233,-0.01236,0.04944,0.15213,-0.0531,-0.11871,-0.01221,0.00443,-0.01465,-0.02319,0.00412,0.00229,-0.03098,-0.03815,-0.13214,-0.04974
8.339,0.10788,-0.01953,0.03433,0.22125,-0.04547,-0.11505,-0.01328,0.00534,-0.01709,-0.02411,0.00031,0.00458,-0.03082,-0.03342,-0.14236,-0.0415
8.3395,0.10239,-0.02975,0.01129,0.16281,-0.03952,-0.11108,-0.01404,0.00381,-0.01846,-0.02365,-0.00687,0.00381,-0.03098,-0.02609,-0.13657,-0.04608
8.34,0.04532,-0.04196,-0.01068,0.01419,-0.03845,-0.10468,-0.01251,0.0,-0.01846,-0.02441,-0.03448,0.00061,-0.0325,-0.02151,-0.10269,-0.05524
8.3405,-0.02655,-0.05219,-0.02747,-0.11093,-0.04517,-0.09628,-0.01038,-0.00458,-0.01694,-0.02426,-0.08224,0.00031,-0.03357,-0.01984,-0.02808,-0.05508
8.341,-0.06912,-0.05646,-0.03967,-0.13397,-0.047,-0.0885,-0.00916,-0.0058,-0.01389,-0.02167,-0.11566,0.0029,-0.03281,-0.01984,0.06989,-0.04044
8.3415,-0.07416,-0.05539,-0.04654,-0.07156,-0.04379,-0.08224,-0.00916,-0.00244,-0.01114,-0.01938,-0.10483,0.00473,-0.03143,-0.02045,0.14236,-0.02014
8.342,-0.06302,-0.0528,-0.04684,0.02411,-0.03922,-0.08408,-0.01083,0.00275,-0.01083,-0.01877,-0.05905,0.00198,-0.03098,-0.02014,0.13824,-0.00565
8.3425,-0.05585,-0.05219,-0.04532,0.12146,-0.04089,-0.08652,-0.01373,0.00626,-0.01221,-0.01907,-0.01343,-0.00427,-0.03143,-0.02197,0.06027,-0.0087
