time,RectFemL,VastusMedL,VastusLatL,TibAntL,HamMedL,HamLatL,GastroMedL,GastroLatL,RectFemR,VastusMedR,VastusLatR,TibAntR,HamMedR,HamLatR,GastroMedR,GastroLatR
6.45,-0.01068,-0.03754,-0.03143,0.13184,-0.01266,-0.04272,-0.01312,0.00809,-0.01114,-0.01709,0.04959,0.00534,0.07278,-0.00885,0.04303,-0.04761
6.4505,-0.00885,-0.03906,-0.04059,0.20508,-0.01099,-0.04456,-0.01633,0.00641,-0.01343,-0.02686,0.03799,0.01068,0.04074,-0.01068,0.03693,-0.04684
6.451,-0.00595,-0.0383,-0.06531,0.24429,-0.01205,-0.04593,-0.02121,0.00381,-0.01389,-0.03006,0.02365,-0.01755,-0.04669,-0.01373,0.02731,-0.04425
6.4515,-0.00427,-0.0354,-0.10391,0.22156,-0.01495,-0.04745,-0.02686,0.00214,-0.01343,-0.02548,0.00916,-0.07385,-0.1593,-0.01953,0.01282,-0.04074
6.452,-0.00519,-0.03265,-0.13702,0.15228,-0.01617,-0.04822,-0.03204,-0.00458,-0.01221,-0.02014,0.0029,-0.13687,-0.22812,-0.02975,-0.00717,-0.03967
6.4525,-0.00687,-0.03357,-0.14618,0.0769,-0.01541,-0.04822,-0.03494,-0.01984,-0.01266,-0.01312,0.00412,-0.16312,-0.21027,-0.04181,-0.02716,-0.04044
6.453,-0.00641,-0.03754,-0.12878,0.0174,-0.01251,-0.04944,-0.03326,-0.04364,-0.01312,-0.00687,0.00504,-0.10559,-0.14664,-0.04639,-0.04211,-0.04181
6.4535,-0.0032,-0.04074,-0.09201,-0.02838,-0.00992,-0.0499,-0.02655,-0.06653,-0.01282,-0.00397,0.00153,0.03281,-0.10605,-0.03998,-0.05585,-0.04318
6.454,0.00076,-0.0386,-0.04135,-0.06851,-0.01114,-0.05005,-0.01953,-0.07523,-0.00961,-0.00748,-0.00534,0.17654,-0.10101,-0.02884,-0.06927,-0.04364
6.4545,0.00397,-0.03479,0.01556,-0.10117,-0.02182,-0.05081,-0.01602,-0.06592,-0.00397,-0.01389,-0.01205,0.24414,-0.09308,-0.02121,-0.0827,-0.04501
6.455,0.00519,-0.0325,0.06531,-0.13565,-0.04044,-0.0528,-0.01617,-0.047,0.00031,-0.01984,-0.01862,0.22507,-0.06516,-0.01953,-0.09064,-0.04654
6.4555,0.0061,-0.03143,0.09399,-0.17914,-0.0502,-0.05478,-0.01999,-0.02655,0.00153,-0.02792,-0.02716,0.15747,-0.04059,-0.0206,-0.09674,-0.04562
